"YYYYMM","Diesel","Petrol","LPG","All others"
202303,7.794208,3.107588,2.406458,7.911704
202304,7.818335,2.877177,2.154298,5.858207
202305,8.217109,3.349626,2.347109,6.774458
202306,7.905740,3.151769,2.232863,6.192268
202307,6.885448,2.983656,2.389574,6.031950
202308,6.669828,3.093247,2.460412,6.621750
202309,6.493096,3.058143,2.551107,6.110460
202310,7.634157,3.140398,2.495721,6.194783
202311,7.525029,3.129235,2.486520,5.543329
202312,7.603291,2.989782,2.628255,7.031802
202401,7.424359,3.100219,2.697610,6.641870
202402,7.442683,3.022600,2.607691,7.119138
202403,8.007097,3.323510,2.612456,7.629539
202404,7.925069,3.284516,2.372881,6.580631
202405,8.411726,3.462931,2.409919,6.795836
202406,7.982347,3.296178,2.319625,6.339280
202407,7.193246,3.297349,2.649175,7.101685
202408,6.500820,3.360147,2.663830,5.736403
202409,6.369199,3.148556,2.609535,5.282357
202410,7.645233,3.412174,2.720707,6.476089
202411,8.165981,3.428368,2.664583,6.397330
202412,8.054471,3.320158,2.771518,6.508379
202501,7.738838,3.307835,2.844158,6.574499
202502,7.343091,3.174033,2.572901,6.046591
202503,8.076904,3.512295,2.721579,6.600036
202504,8.261073,3.449397,2.544522,5.955517
202505,8.589898,3.782134,2.648125,6.199896
202506,8.105366,3.521885,2.554154,5.860422
202507,7.366142,3.492759,2.795217,5.804462
202508,6.576149,3.544392,2.806747,5.801863
