"Year","Afghanistan","Albania","Algeria","Andorra","Angola","Anguilla","Antarctica","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bonaire, Saint Eustatius and Saba","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Canada","Cape Verde","Cayman Islands","Central African Republic","Chad","Chile","China","Christmas Island","Colombia","Comoros","Congo","Cook Islands","Costa Rica","Côte d'Ivoire","Croatia","Cuba","Curaçao","Cyprus","Czechia","Czechoslovakia","North Korea","Democratic Republic of the Congo","North Vietnam","Denmark","Djibouti","Dominica","Dominican Republic","East & West Pakistan ","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Faeroe Islands","Falkland Islands (Malvinas)","Federal Republic of Germany","Micronesia (Federated States of)","Federation of Malaya-Singapore","Fiji","Finland","Democratic Yemen","German Democratic Republic","Panama Canal Zone","Former Yemen","France","French Equatorial Africa","French Guiana","French Indochina","French Polynesia","French West Africa","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Grenada","Guadeloupe","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iraq","Ireland","Iran","Isle of Man","Israel","Italy","Jamaica","Japan","Japan (excluding the Ruyuku Islands)","Jordan","Kazakhstan","Kenya","Kiribati","Kosovo","Kuwait","Kuwaiti Oil Fires","Kyrgyzstan","Laos","Latvia","Lebanon","Leeward Islands","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao","North Macedonia","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mayotte","Mexico","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands Antilles","Netherlands Antilles and Aruba","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","Norway","State of Palestine","Oman","Pacific Islands (Palau)","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peninsular Malaysia","Peru","Philippines","Bolivia","Poland","Portugal","Puerto Rico","Qatar","Cameroon","South Korea","Moldova","South Sudan","South Vietnam","Sudan","Réunion","Federation of Rhodesia and Nyasaland","Romania","Russia","Rwanda","Ruanda-Urundi","Ryukyu Islands","Sabah","Saint Helena","Saint Lucia","Sint Maarten (Dutch part)","Samoa","Sao Tome and Principe","Sarawak","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","Spain","Sri Lanka","Saint Kitts and Nevis","St. Kitts-Nevis-Anguilla","Saint Pierre and Miquelon","Saint Vincent and the Grenadines","United Sudan","Suriname","Eswatini","Sweden","Switzerland","Syria","Taiwan","Tajikistan","Tanganyika","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Türkiye","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United Korea","Tanzania","USA","Uruguay","USSR","Uzbekistan","Vanuatu","Venezuela","Viet Nam","Wallis and Futuna Islands","Yemen","Socialist Federal Republic of Yugoslavia","Serbia and Montenegro","Zambia","Zanzibar","Zimbabwe","World"
1990,,,266.6,,65.9,,,,106.0,,,572.4,,54.3,,12.0,9.1,,,,,,,,,,,108.9,,38.1,19.8,,,,621.5,,,,,,2520.2,,128.5,,22.6,,,,,,,,141.1,,,,,23.1,,,,,43.7,143.6,,,,,,,,,,,,,,,,,,,,,,,38.0,,,516.1,,,27.7,,,,,,,,,,,19.1,,532.6,322.4,304.1,,507.5,,,45.4,,18.0,,,304.6,,,,139.7,,,,,,,,,201.1,,,,,,,,118.9,,,,,,,,,474.4,12.7,,,,,1.7,,,,,,125.5,,5.8,,,254.1,,281.5,,101.3,,25.1,,,,,,19.9,,6.2,394.2,,,72.4,,30.1,,,,,,,107.8,3361.8,,,,,,,,,,,1028.3,,,,,,,,,,389.5,44.3,,,,,,,,,,,60.1,,,,34.1,,,,31.6,13.4,45.6,172.9,,,,390.3,301.2,571.8,,,4224.3,,,87.8,,386.2,18.8,,24.5,,,,,13.8,21605.8
1991,,,275.6,,69.1,,,,111.3,,,586.3,,49.8,,11.5,9.3,,,,,,,,,,,109.3,,40.0,18.1,,,,640.5,,,,,,2542.8,,125.1,,22.7,,,,,,,,131.9,,,,,27.6,,,,,45.9,145.3,,,,,,,,,,,,,,,,,,,,,,,41.4,,,443.3,,,26.9,,,,,,,,,,,18.5,,558.3,356.7,42.6,,549.0,,,44.7,,17.5,,,305.9,,,,26.9,,,,,,,,,203.6,,,,,,,,129.0,,,,,,,,,495.4,12.5,,,,,1.7,,,,,,141.9,,6.1,,,278.1,,313.5,,104.4,,26.8,,,,,,17.8,,6.2,378.5,,,73.1,,26.4,,,,,,,93.3,3135.5,,,,,,,,,,,1272.9,,,,,,,,,,397.4,40.6,,,,,,,,,,,69.8,,,,40.7,,,,31.4,15.3,42.8,165.9,,,,332.8,347.0,585.9,,,4157.6,,,89.2,,424.9,22.6,,26.5,,,,,14.1,21394.2
1992,,,274.0,,76.5,,,,120.5,,,619.7,,46.8,,13.4,10.2,,,,,,,,,,,111.1,,44.0,20.9,,,,655.5,,,,,,2602.7,,132.2,,24.3,,,,,,,,122.2,,,,,30.1,,,,,49.2,148.3,,0.3,,,,,,,,,,,,,,,,,,,,,40.7,,,410.6,,,27.2,,,,,,,,,,,16.8,,577.4,370.0,77.9,,556.1,,,46.6,,16.5,,,297.3,,,,156.9,,,,,,,,,209.1,,,,,,,,132.4,,,,,,,,,493.6,11.1,,,,,1.7,,,,,,142.5,,7.0,,,288.9,,351.9,,109.7,,26.6,,,,,,17.9,,5.6,368.3,,,82.8,,20.9,,,,,,,88.3,2932.2,,,,,,,,,,,1317.4,,,,,,,,,,406.8,41.2,,,,,,,,,,,76.0,,,,44.3,,,,30.2,15.4,47.1,114.2,,,,311.9,374.3,572.6,,,4142.8,,,90.5,,425.3,27.2,,24.6,,,,,13.9,21515.5
1993,,,274.9,,69.9,,,,128.9,,,618.7,,42.0,,14.3,11.4,,,,,,,,,,,114.3,,44.0,20.3,,,,702.9,,,,,,2676.9,,133.7,,26.9,,,,,,,,119.6,,,,,32.4,,,,,52.8,155.4,,0.7,,,,,,,,,,,,,,,,,,,,,42.9,,,372.4,,,27.9,,,,,,,,,,,14.5,,589.6,386.3,67.7,,551.9,,,49.2,,15.7,,,262.1,,,,282.3,,,,,,,,,198.2,,,,,,,,133.9,,,,,,,,,498.8,9.9,,,,,2.1,,,,,,145.3,,7.9,,,286.4,,370.3,,114.4,,30.2,,,,,,19.4,,5.6,358.0,,,78.4,,16.5,,,,0.3,,,87.8,2699.1,,,,,,,,,,,1284.8,,,,,,,,,,415.9,40.6,,,,,,,,,,,83.0,,,,47.5,,,,30.1,13.9,44.9,128.9,,,,268.2,366.6,569.4,,,3982.1,,,95.9,,446.0,32.4,,27.9,,,,,13.3,21290.2
1994,,,264.9,,77.3,,,,140.1,,,642.5,,39.3,,14.7,12.1,,,,,,,,,,,119.6,,44.7,19.6,,,,744.7,,,,,,2857.8,,136.7,,26.9,,,,,,,,109.3,,,,,35.5,,,,,58.0,154.0,,0.7,,,,,,,,,,,,,,,,,,,,,47.4,,,347.1,,,28.6,,,,,,,,,,,13.8,,612.9,413.5,75.8,,573.1,,,51.9,,15.1,,,239.0,,,,302.4,,,,,,,,,202.2,,,,,,,,138.2,,,,,,,,,508.4,9.1,,,,,2.8,,,,,,137.8,,7.2,,,273.9,,415.0,,119.4,,30.4,,,,,,19.6,,6.0,357.4,,,77.8,,12.9,,,,0.3,,,84.0,2510.9,,,,,,,,,,,1298.0,,,,,,,,,,432.2,38.4,,,,,,,,,,,82.9,,,,51.7,,,,32.7,12.8,47.1,75.8,,,,225.2,374.7,605.9,,,4169.0,,,104.1,,473.9,33.6,,46.2,,,,,13.7,21663.8
1995,,,278.9,,87.8,,,,153.7,,,666.1,,38.6,,14.9,13.3,,,,,,,,,,,124.0,,46.8,20.6,,,,784.9,,,,,,3101.9,,164.8,,26.1,,,,,,,,105.9,,,,,36.4,,,,,59.2,155.1,,1.0,,,,,,,,,,,,,,,,,,,,,50.0,,,340.7,,,29.2,,,,,,,,,,,14.0,,656.7,433.3,79.3,,585.6,,,52.4,,13.6,,,206.1,,,,312.9,,,,,,,,,203.2,,,,,,,,149.9,,,,,,,,,497.0,8.9,,,,,3.2,,,,,,140.1,,8.8,,,276.9,,444.5,,128.2,,31.3,,,,,,18.8,,6.0,365.9,,,79.9,,10.0,,,,0.3,,,83.5,2431.7,,,,,,,,,,,1295.7,,,,,,,,,,454.7,37.9,,,,,,,,,,,88.6,,,,54.1,,,,33.6,12.5,47.0,69.2,,,,198.2,382.8,639.9,,,4137.3,,,110.5,,510.4,39.9,,46.9,,,,,13.9,22115.5
1996,,,295.4,,99.6,,,,170.7,,,686.4,,37.0,,15.4,14.3,,,,,,,,,,,138.6,,45.3,21.0,,,,800.1,,,,,,3202.9,,182.3,,29.2,,,,,,,,107.2,,,,,41.9,,,,,59.0,152.3,,2.4,,,,,,,,,,,,,,,,,,,,,51.4,,,323.8,,,28.0,,,,,,,,,,,15.0,,691.9,460.1,86.6,,600.0,,,53.0,,14.1,,,202.7,,,,313.7,,,,,,,,,205.3,,,,,,,,166.7,,,,,,,,,536.1,9.0,,,,,3.1,,,,,,158.6,,9.0,,,281.8,,509.2,,133.2,,34.1,,,,,,18.6,,6.1,362.7,,,95.6,,8.7,,,,0.7,,,82.4,2416.4,,,,,,,,,,,1315.9,,,,,,,,,,454.9,37.4,,,,,,,,,,,87.7,,,,62.3,,,,35.3,12.4,47.8,75.1,,,,158.0,394.6,660.9,,,4208.2,,,112.1,,542.5,46.7,,47.7,,,,,13.0,22681.3
1997,,,321.6,,102.8,,,,174.9,,,740.9,,36.2,,16.5,14.1,,,,,,,,,,,149.5,,44.9,19.5,,,,832.5,,,,,,3194.8,,197.2,,32.6,,,,,,,,108.8,,,,,47.8,,,,,59.4,149.3,,8.4,,,,,,,,,,,,,,,,,,,,,51.3,,,311.1,,,30.0,,,,,,,,,,,15.6,,715.9,470.9,166.7,,604.7,,,53.4,,9.3,,,206.4,,,,313.6,,,,,,,,,209.8,,,,,,,,176.1,,,,,,,,,557.1,8.7,,,,,2.9,,,,,,140.4,,8.5,,,281.8,,524.5,,135.8,,33.4,,,,,,18.0,,5.1,369.1,,,120.3,,7.9,,,,1.2,,,72.1,2353.4,,,,,,,,,,,1302.4,,,,,,,,,,485.0,37.5,,,,,,,,,,,89.3,,,,72.0,,,,36.0,11.7,51.0,46.0,,,,163.2,400.6,656.0,,,4253.3,,,115.2,,566.0,54.2,,49.9,,,,,13.3,23019.2
1998,,,331.6,,101.4,,,,181.0,,,752.1,,42.3,,17.4,15.2,,,,,,,,,,,169.8,,42.4,19.7,,,,846.9,,,,,,3088.1,,216.8,,38.3,,,,,,,,101.5,,,,,48.3,,,,,57.6,147.7,,11.6,,,,,,,,,,,,,,,,,,,,,47.5,,,287.5,,,31.6,,,,,,,,,,,14.3,,714.0,481.4,299.1,,625.5,,,51.9,,8.0,,,202.1,,,,327.8,,,,,,,,,208.0,,,,,,,,177.4,,,,,,,,,572.4,8.9,,,,,3.4,,,,,,133.9,,7.4,,,290.6,,508.3,,135.6,,35.2,,,,,,17.8,,5.4,320.0,,,126.6,,7.6,,,,1.7,,,64.2,2352.1,,,,,,,,,,,1342.5,,,,,,,,,,490.3,35.9,,,,,,,,,,,91.4,,,,71.9,,,,35.9,11.5,54.2,41.7,,,,165.1,413.9,660.7,,,4299.9,,,124.2,,590.2,62.4,,50.7,,,,,13.7,23217.2
1999,,,343.2,,103.4,,,,184.0,,,784.3,,49.8,,18.0,16.6,,,,,,,,,,,191.5,,46.8,16.6,,,,838.7,,,,,,3154.2,,222.3,,38.7,,,,,,,,90.0,,,,,57.1,,,,,57.3,148.5,,14.0,,,,,,,,,,,,,,,,,,,,,47.8,,,283.1,,,31.2,,,,,,,,,,,13.2,,702.5,502.8,367.4,,606.7,,,47.3,,8.5,,,197.3,,,,305.3,,,,,,,,,198.5,,,,,,,,174.9,,,,,,,,,552.9,8.8,,,,,3.3,,,,,,124.6,,8.5,,,268.7,,516.9,,136.1,,39.3,,,,,,16.3,,4.3,309.5,,,138.9,,7.3,,,,8.7,,,61.8,2394.3,,,,,,,,,,,1237.8,,,,,,,,,,491.1,33.4,,,,,,,,,,,91.6,,,,75.2,,,,41.3,11.8,51.7,60.6,,,,172.8,389.9,681.9,,,4172.1,,,125.4,,527.1,66.3,,54.0,,,,,12.5,23121.6
2000,,,370.0,,103.8,,,,188.5,,,834.0,,49.8,,18.2,17.9,,,,,,,,,,,214.7,,48.5,16.7,,,,853.4,,,,,,3263.5,,216.2,,38.1,,,,,,,,97.4,,,,,66.8,,,,,60.8,149.6,,16.0,,,,,,,,,,,,,,,,,,,,,38.9,,,271.1,,,32.0,,,,,,,,,,,12.9,,738.8,518.8,368.8,,651.5,,,44.5,,6.3,,,241.8,,,,327.6,,,,,,,,,206.9,,,,,,,,192.9,,,,,,,,,567.0,9.2,,,,,6.6,,,,,,121.4,,8.5,,,322.4,,548.8,,152.9,,41.2,,,,,,15.2,,6.2,287.3,,,164.2,,7.3,,,,24.9,,,64.8,2455.9,,,,,,,,,,,1329.1,,,,,,,,,,492.5,32.4,,,,,,,,,,,89.8,,,,81.6,,,,45.9,10.3,48.6,104.5,,,,172.6,416.4,656.3,,,4122.6,,,124.8,,535.3,75.0,,59.0,,,,,11.1,23851.3
2001,,,356.4,,103.0,,,,195.2,,,883.0,,52.2,,18.9,20.1,,,,,,,,,,,222.4,,50.0,17.5,,,,865.4,,,,,,3439.5,,219.2,,35.3,,,,,,,,98.6,,,,,65.1,,,,,61.7,153.9,,26.4,,,,,,,,,,,,,,,,,,,,,36.9,,,261.9,,,32.6,,,,,,,,,,,11.8,,746.5,540.0,354.2,,658.6,,,40.5,,6.5,,,262.4,,,,318.0,,,,,,,,,200.5,,,,,,,,188.8,,,,,,,,,577.2,9.1,,,,,13.6,,,,,,128.0,,9.6,,,326.9,,561.9,,162.6,,43.2,,,,,,14.9,,9.0,288.3,,,168.0,,6.7,,,,29.0,,,64.6,2548.8,,,,,,,,,,,1305.9,,,,,,,,,,491.1,30.6,,,,,,,,,,,95.1,,,,84.1,,,,46.9,9.4,47.8,113.5,,,,172.3,409.6,625.7,,,4215.8,,,125.1,,546.2,81.2,,60.4,,,,,11.3,24343.0
2002,,,375.8,,125.7,,,,191.4,,,905.2,,52.5,,19.6,21.1,,,,,,,,,,,250.2,,51.1,17.2,,,,865.6,,,,,,3647.9,,203.6,,33.9,,,,,,,,94.3,,,,,68.3,,,,,59.4,156.9,,31.3,,,,,,,,,,,,,,,,,,,,,36.0,,,262.4,,,33.4,,,,,,,,,,,11.5,,778.3,564.8,297.1,,652.0,,,43.4,,2.8,,,276.9,,,,294.6,,,,,,,,,193.0,,,,,,,,196.5,,,,,,,,,580.9,9.8,,,,,16.3,,,,,,125.7,,11.1,,,301.6,,572.2,,156.9,,46.8,,,,,,14.6,,11.5,287.4,,,165.6,,5.8,,,,32.8,,,65.2,2641.4,,,,,,,,,,,1205.5,,,,,,,,,,483.7,29.9,,,,,,,,,,,104.3,,,,88.3,,,,54.7,9.8,44.2,118.7,,,,174.7,390.9,614.5,,,4091.7,,,127.7,,515.6,88.8,,60.7,,,,,9.9,24447.0
2003,,,408.3,,120.7,,,,200.4,,,918.8,,52.6,,19.9,22.7,,,,,,,,,,,259.2,,53.4,18.1,,,,868.4,,,,3.5,,4224.4,,225.9,,31.0,,,,,,,,94.8,,,,,66.9,,,,,63.3,161.8,,35.8,,,,,,,,,,,,,,,,,,,,,38.5,,,261.5,,,31.8,,,,,,,,,,,11.9,,809.7,581.0,188.9,,723.9,,,42.1,,2.7,,,310.4,,,,344.5,,,,,,,,,206.9,,,,,,,,204.1,,,,,,,,,616.3,10.0,,,,,18.7,,,,,,120.2,,12.6,,,358.4,,575.5,,149.6,,56.4,,,,,,14.3,,13.3,286.1,,,187.7,,5.8,,,,36.4,,,66.0,2844.1,,,,,,,,,,,1410.3,,,,,,,,,,524.3,27.8,,,,,,,,,,,101.7,,,,92.5,,,,71.5,8.9,41.9,130.3,,,,171.8,441.9,580.8,,,4019.0,,,127.4,,490.9,97.5,,59.8,,,,,7.1,25763.3
2004,,,417.6,,153.8,,,,202.0,,,942.6,,52.6,,18.3,24.4,,,,,,,,,,,261.0,,52.7,17.7,,,,890.6,,,,24.9,,4878.4,,235.4,,32.3,,,,,,,,91.0,,,,,73.1,,,,,79.8,161.0,,46.7,,,,,,,,,,,,,,,,,,,,,38.5,,,261.1,,,33.2,,,,,,,,,,,9.1,,864.0,609.8,283.5,,768.5,,,40.0,,2.7,,,345.8,,,,367.8,,,,,,,,,230.7,,,,,,,,221.3,,,,,,,,,631.5,12.1,,,,,19.8,,,,,,141.7,,12.7,,,388.1,,578.8,,145.2,,66.6,,,,,,14.9,,18.6,278.7,,,220.8,,5.6,,,,40.5,,,64.5,2991.6,,,,,,,,,,,1511.8,,,,,,,,,,533.2,26.9,,,,,,,,,,,77.9,,,,95.2,,,,76.6,9.4,41.0,130.2,,,,173.0,459.2,526.0,,,4040.2,,,128.1,,564.8,125.0,,56.3,,,,,9.5,27339.9
2005,,,411.6,,175.9,,,,198.7,,,983.5,,73.7,,20.1,26.3,,,,,,,,,,,284.0,,51.6,16.2,,,,893.9,,,,25.7,,5438.8,,251.0,,35.4,,,,,,,,91.7,,,,,73.8,,,,,80.5,174.4,,49.2,,,,,,,,,,,,,,,,,,,,,38.0,,,252.8,,,33.2,,,,,,,,,,,6.8,,893.0,652.8,256.1,,776.8,,,40.1,,2.2,,,355.7,,,,390.5,,,,,,,,,252.2,,,,,,,,230.2,,,,,,,,,636.7,13.3,,,,,23.7,,,,,,129.3,,13.0,,,386.8,,558.6,,148.3,,70.6,,,,,,17.9,,23.0,278.8,,,241.9,,5.0,,,,40.8,,,60.2,3031.8,,,,,,,,,,,1589.4,,,,,,,,,,538.2,25.8,,,,,,,,,,,72.4,,,,105.4,,,,82.2,9.6,43.6,140.0,,,,173.8,476.9,468.4,,,3998.0,,,126.7,,557.9,139.8,,55.7,,,,,8.5,28255.5
2006,,,403.8,,193.5,,,,199.8,,,1000.8,,104.0,,21.3,28.4,,,,,,,,,,,298.7,,54.7,16.8,,,,915.8,,,,22.7,,5804.1,,268.5,,40.0,,,,,,,,92.8,,,,,68.9,,,,,81.1,197.6,,48.6,,,,,,,,,,,,,,,,,,,,,34.0,,,239.8,,,31.8,,,,,,,,,,,6.8,,927.8,728.2,278.9,,801.7,,,37.1,,2.7,,,383.5,,,,400.2,,,,,,,,,272.6,,,,,,,,224.2,,,,,,,,,636.5,14.3,,,,,24.5,,,,,,127.7,,13.9,,,378.7,,537.2,,150.0,,72.9,,,,,,19.0,,24.6,273.6,,,263.6,,4.9,,,,49.4,,,61.3,3115.2,,,,,,,,,,,1571.9,,,,,,,,,,537.7,24.3,,,,,,,,,,,68.9,,,,107.2,,,,93.4,9.2,51.2,140.2,,,,176.8,504.5,423.7,,,4066.0,,,130.8,,571.7,146.1,,51.1,,,,,5.3,29131.8
2007,,,405.2,,228.7,,,,193.9,,,1037.2,,143.1,,22.2,30.4,,,,,,,,,,,302.9,,50.4,18.8,,,,923.1,,,,21.2,,6261.0,,279.9,,32.4,,,,,,,,92.6,,,,,61.8,,,,,77.4,201.3,,49.9,,,,,,,,,,,,,,,,,,,,,34.5,,,241.3,,,32.6,,,,,,,,,,,6.9,,978.3,771.0,305.1,,834.4,,,34.9,,2.9,,,397.8,,,,387.5,,,,,,,,,281.1,,,,,,,,227.8,,,,,,,,,606.4,16.3,,,,,26.3,,,,,,122.7,,11.6,,,368.5,,511.1,,146.8,,73.4,,,,,,20.6,,26.4,252.0,,,291.3,,5.2,,,,67.0,,,61.3,3150.0,,,,,,,,,,,1517.4,,28.0,,,,,,,,538.1,22.8,,,,,,,,,,,66.1,,,,111.0,,,,94.9,12.8,57.6,150.9,,,,174.9,501.7,404.7,,,4079.6,,,134.7,,560.1,151.7,,44.9,,,,,5.2,29802.6
2008,,,402.3,,260.0,,,,191.3,,,1061.6,,159.3,,23.8,32.4,,,,,,,,,,,320.4,,47.6,18.9,,,,899.7,,,,18.8,,6498.8,,301.1,,34.4,,,,,,,,88.6,,,,,60.3,,,,,76.6,210.0,,49.5,,,,,,,,,,,,,,,,,,,,,33.8,,,221.8,,,31.6,,,,,,,,,,,6.6,,1050.1,837.4,348.9,,851.5,,,32.2,,2.5,,,435.3,,,,407.7,,,,,,,,,278.5,,,,,,,,231.6,,,,,,,,,562.4,17.8,,,,,24.1,,,,,,140.3,,11.6,,,362.7,,519.0,,152.2,,75.4,,,,,,23.0,,27.3,245.4,,,339.4,,5.0,,,,63.6,,,61.1,3182.0,,,,,,,,,,,1588.0,,29.1,,,,,,,,548.3,17.0,,,,,,,,,,,66.3,,,,118.4,,,,93.4,11.7,64.9,151.8,,,,175.3,506.1,388.0,,,4153.1,,,138.6,,547.7,143.7,,41.7,,,,,3.8,30555.4
2009,,,369.1,,242.4,,,,175.7,,,1104.4,,174.9,,24.0,37.1,,,,,,,,,,,334.7,,45.2,17.9,,,,867.3,,,,17.4,,6685.3,,314.0,,39.7,,,,,,,,81.1,,,,,53.7,,,,,73.6,218.8,,44.1,,,,,,,,,,,,,,,,,,,,,33.9,,,205.8,,,31.8,,,,,,,,,,,6.1,,1134.3,866.6,350.9,,852.4,,,28.0,,2.6,,,435.8,,,,362.6,,,,,,,,,260.1,,,,,,,,220.5,,,,,,,,,540.9,25.6,,,,,22.5,,,,,,129.6,,10.8,,,346.9,,510.1,,159.1,,74.8,,,,,,26.5,,23.5,227.9,,,358.7,,4.6,,,,65.9,,,58.8,3025.0,,,,,,,,,,,1440.7,,28.8,,,,,,,,543.5,14.8,,,,,,,,,,,66.6,,,,118.7,,,,95.5,11.0,67.7,96.6,,,,165.7,457.2,354.1,,,4025.8,,,132.1,,511.3,158.1,,42.1,,,,,4.2,30069.1
2010,,,361.0,,250.5,,,,170.9,,,1148.4,,176.8,,24.6,38.1,,,,,,,,,,,354.9,,47.4,19.2,,,,886.4,,,,18.0,,7240.0,,336.7,,45.2,,,,,,,,81.0,,,,,51.1,,,,,73.6,215.5,,40.7,,,,,,,,,,,,,,,,,,,,,32.8,,,200.5,,,28.5,,,,,,,,,,,6.2,,1192.3,897.7,354.5,,882.2,,,30.2,,1.8,,,463.2,,,,369.7,,,,,,,,,269.9,,,,,,,,222.0,,,,,,,,,540.0,44.5,,,,,24.2,,,,,,149.0,,12.9,,,404.9,,487.9,,169.8,,75.8,,,,,,35.0,,27.1,223.9,,,443.5,,3.8,,,,64.1,,,54.9,3214.8,,,,,,,,,,,1470.1,,28.2,,,,,,,,560.5,12.8,,,,,,,,,,,68.9,,,,128.9,,,,97.3,10.8,68.2,110.8,,,,163.5,477.2,334.2,,,4128.9,,,128.4,,478.6,158.6,,52.6,,,,,6.7,31412.9
2011,,,359.5,,231.1,,,,162.5,,,1121.5,,161.5,,25.0,38.8,,,,,,,,,,,366.0,,47.5,24.2,,,,916.2,,,,16.8,,7983.7,,385.9,,43.2,,,,,,,,81.7,,,,,44.4,,,,,75.5,214.5,,39.9,,,,,,,,,,,,,,,,,,,,,33.2,,,202.5,,,29.2,,,,,,,,,,,6.4,,1180.7,1031.1,395.1,,897.6,,,30.9,,2.6,,,475.8,,,,422.4,,,,,,,,,83.3,,,,,,,,216.1,,,,,,,,,546.7,58.4,,,,,24.8,,,,,,137.5,,11.9,,,405.5,,462.0,,175.4,,75.6,,,,,,42.4,,29.8,225.6,,,516.6,,3.8,,,,40.4,,,57.8,3297.2,,,,,,,,,,,1646.1,,30.4,,,,,,,,556.9,10.3,,,,,,,,,,,62.4,,,,134.8,,,,93.1,9.6,69.5,143.9,,,,179.9,521.8,280.2,,,4266.9,,,126.8,,465.9,161.2,,47.3,,,,,6.4,32703.1
2012,,,344.6,,240.3,,,,159.5,,,1209.1,,156.5,,25.8,42.2,,,,,,,,,,,367.2,,46.2,21.8,,,,951.5,,,,15.0,,8092.2,,403.2,,40.1,,,,,,,,78.9,,,,,40.0,,,,,76.3,213.8,,42.7,,,,,,,,,,,,,,,,,,,,,31.2,,,204.5,,,31.3,,,,,,,,,,,6.2,,1185.6,1075.5,438.8,,819.1,,,31.4,,2.7,,,481.5,,,,462.9,,,,,,,,,227.4,,,,,,,,221.8,,,,,,,,,534.8,55.1,,,,,24.8,,,,,,135.4,,11.8,,,405.3,,470.6,,182.8,,77.7,,,,,,43.0,,33.4,233.9,,,552.5,,3.7,,4.3,,14.3,,,55.9,3329.7,,,,,,,,,,,1734.1,,28.5,,,,,,,,570.1,9.6,,,,,,,,,,,34.8,,,,143.2,,,,90.9,9.6,66.2,150.5,,,,190.4,541.2,242.2,,,4323.6,,,125.4,,461.1,157.4,,38.0,,,,,4.0,33311.1
2013,,,339.5,,240.0,,,,153.4,,,1281.1,,158.1,,27.6,43.4,,,,,,,,,,,367.9,,42.1,18.6,,,,992.9,,,,13.4,,8201.5,,405.9,,34.7,,,,,,,,69.1,,,,,34.3,,,,,79.6,203.6,,37.3,,,,,,,,,,,,,,,,,,,,,30.0,,,192.5,,,26.2,,,,,,,,,,,6.3,,1175.0,1243.2,442.0,,789.8,,,30.1,,2.7,,,490.5,,,,457.3,,,,,,,,,163.1,,,,,,,,224.6,,,,,,,,,532.1,59.0,,,,,25.5,,,,,,143.3,,11.2,,,373.6,,447.3,,190.8,,75.7,,,,,,45.1,,38.7,231.1,,,562.4,,3.2,,13.8,,16.4,,,49.5,3389.0,,,,,,,,,,,1704.9,,30.0,,,,,,,,565.0,6.9,,,,,,,,,,,17.5,,,,143.4,,,,91.1,8.8,60.1,151.8,,,,188.5,560.7,217.2,,,4424.1,,,124.0,,452.2,155.7,,45.9,,,,,7.8,33647.9
2014,,,352.4,,234.6,,,,152.2,,,1372.0,,156.2,,29.1,45.6,,,,,,,,,,,405.2,,42.4,19.9,,,,1046.3,,,,13.1,,8106.0,,410.3,,36.3,,,,,,,,66.1,,,,,32.4,,,,,84.0,191.9,,37.4,,,,,,,,,,,,,,,,,,,,,29.7,,,187.7,,,24.8,,,,,,,,,,,6.2,,1223.4,1209.9,462.3,,837.6,,,29.7,,3.0,,,486.8,,,,451.5,,,,,,,,,92.1,,,,,,,,226.8,,,,,,,,,516.7,43.3,,,,,32.7,,,,,,119.5,,9.6,,,386.8,,452.1,,188.3,,75.2,,,,,,47.2,,40.4,218.7,,,560.3,,3.1,,21.6,,16.6,,,48.9,3370.9,,,,,,,,,,,1724.6,,22.3,,,,,,,,575.6,6.3,,,,,,,,,,,13.3,,,,142.9,,,,89.6,8.2,63.6,161.9,,,,141.4,563.7,213.5,,,4761.9,,,124.3,,455.4,153.7,,38.8,,,,,14.5,34021.4
