"Year","Algeria","Angola","Argentina","Australia","Azerbaijan","Bahrain","Bangladesh","Bolivia","Brazil","Brunei","Bulgaria","Canada","Chad","China","Colombia","Czech Republic","Denmark","Ecuador","Egypt","Equatorial Guinea","Gabon","Germany","Greece","Guyana","Hungary","India","Indonesia","Iran","Iraq","Israel","Italy","Japan","Kazakhstan","Kuwait","Libya","Malaysia","Mexico","Mongolia","Myanmar","Netherlands","New Zealand","Nigeria","Norway","Oman","Pakistan","Peru","Poland","Qatar","Republic of Congo","Romania","Russian Federation","Saudi Arabia","Serbia","South Africa","South Korea","South Sudan","Spain","Sudan","Syria","Thailand","Trinidad & Tobago","Tunisia","Turkey","Turkmenistan","US","USSR","Ukraine","United Arab Emirates","United Kingdom","Uzbekistan","Venezuela","Vietnam","Yemen","Zimbabwe","World"
2002,11.83,7.25,5.03,46.19,6.30,26.05,0.15,1.30,1.40,150.24,2.19,27.45,,2.83,5.05,9.21,12.70,4.52,2.06,39.20,26.77,3.20,3.07,,1.14,0.71,2.54,9.59,11.42,0.00,0.75,0.02,17.68,143.02,35.03,8.15,5.72,3.92,0.35,7.72,2.81,2.26,127.11,67.15,0.29,0.54,7.52,232.85,10.13,3.00,18.10,67.31,,10.07,0.12,,0.72,1.12,5.97,1.37,41.05,0.98,0.66,24.90,14.25,,3.59,98.78,10.32,5.03,20.27,1.13,2.91,0.82,3.86
2003,12.69,6.73,5.22,46.36,6.26,24.59,0.16,1.46,1.44,154.06,2.32,27.28,0.37,3.26,5.52,9.25,12.42,4.73,2.08,42.27,27.88,3.18,2.91,,1.18,0.72,2.58,10.53,7.05,0.00,0.73,0.02,19.71,163.27,36.82,8.27,5.99,3.98,0.40,7.34,3.13,2.61,127.07,63.29,0.34,0.52,7.49,252.03,9.00,3.06,19.51,75.07,,10.81,0.12,,0.65,1.22,5.68,1.43,53.37,0.89,0.62,26.78,13.86,,3.56,105.41,9.71,4.95,18.96,1.23,2.79,0.58,4.01
2004,12.80,8.27,5.20,47.02,6.19,21.05,0.17,2.03,1.43,149.30,2.28,27.72,2.51,3.75,5.67,8.87,13.53,5.87,2.03,51.85,27.09,3.18,3.04,,0.90,0.76,2.68,10.94,10.28,0.34,0.69,0.02,21.82,170.50,40.22,8.76,6.05,4.78,0.42,8.63,3.12,2.75,127.28,60.38,0.39,0.53,7.30,285.53,9.06,3.01,20.61,76.86,,10.88,0.12,,0.62,1.33,4.25,1.45,56.96,0.93,0.60,26.26,13.80,,3.61,103.67,8.74,4.92,21.44,1.56,2.55,0.77,4.21
2005,12.43,9.12,5.07,48.46,8.57,21.59,0.18,2.46,1.54,143.79,2.11,27.60,2.48,4.15,5.96,8.92,13.61,5.81,2.15,51.95,25.98,3.08,3.02,,0.68,0.77,2.83,10.82,9.02,0.46,0.69,0.02,22.28,174.59,43.04,8.91,6.02,5.19,0.50,7.85,3.13,2.67,121.67,60.30,0.40,0.64,7.31,293.06,9.58,2.84,20.97,77.31,,10.88,0.10,,0.59,1.30,3.85,1.60,60.83,0.93,0.63,27.71,13.52,,3.65,102.24,7.73,4.81,20.83,1.72,2.45,0.68,4.29
2006,12.01,9.67,5.04,48.60,11.94,21.42,0.19,2.59,1.60,150.01,2.19,27.95,2.12,4.40,6.29,9.01,12.67,5.75,2.39,49.06,22.56,2.94,2.88,,0.68,0.79,3.11,10.92,9.75,0.63,0.63,0.02,23.82,169.22,43.99,8.49,5.93,5.53,0.51,7.74,3.33,2.54,115.88,59.65,0.41,0.67,7.19,270.93,10.42,2.91,21.62,73.25,,10.75,0.10,,0.54,1.54,3.51,1.61,68.76,0.89,0.73,27.23,13.61,,3.74,100.72,6.94,4.90,21.00,1.78,2.17,0.42,4.37
2007,11.85,11.01,4.85,49.50,15.98,20.96,0.21,2.72,1.61,135.89,2.48,27.89,1.92,4.72,6.47,8.96,11.31,5.40,2.39,48.21,22.20,2.97,2.95,,0.69,0.82,3.25,11.18,10.74,0.74,0.59,0.02,24.47,154.51,44.60,8.44,5.57,6.27,0.55,7.42,2.75,2.40,109.11,57.14,0.40,0.72,6.63,241.06,8.13,2.94,21.90,67.84,3.74,10.65,0.11,,0.50,2.05,3.16,1.65,69.49,1.23,0.81,28.77,13.52,,3.72,89.20,6.58,4.97,20.26,1.81,1.85,0.41,4.41
2008,11.55,12.05,4.73,49.67,17.57,21.22,0.22,2.77,1.68,125.91,2.51,26.90,1.64,4.87,6.88,8.54,10.98,5.26,2.45,45.67,21.03,2.73,2.85,,0.66,0.87,3.49,11.28,12.04,0.91,0.54,0.02,26.50,153.75,43.29,8.40,5.10,6.77,0.50,8.46,2.73,2.30,108.77,57.95,0.40,0.80,6.46,237.87,8.35,2.95,22.13,68.19,3.91,10.73,0.10,,0.37,1.89,3.06,1.75,68.09,1.11,0.91,28.40,13.62,,3.74,80.31,6.26,5.04,19.52,1.69,1.66,0.29,4.46
2009,10.40,10.81,4.30,50.70,19.21,20.29,0.25,2.35,1.74,117.39,2.39,25.64,1.47,4.98,7.09,7.78,9.72,4.96,2.50,38.80,20.40,2.54,2.86,,0.61,0.93,3.59,11.15,11.67,0.70,0.47,0.02,26.22,129.70,39.46,7.84,4.83,9.59,0.46,7.77,2.51,2.14,104.73,59.25,0.38,0.92,6.00,226.17,9.27,2.86,21.03,59.49,3.88,10.51,0.09,,0.32,1.91,3.03,1.74,69.23,1.04,0.93,17.71,13.07,,3.55,68.16,5.66,4.73,17.98,1.83,1.56,0.32,4.34
2010,9.98,10.75,4.14,51.86,19.20,20.28,0.25,2.67,1.83,120.91,2.59,25.90,1.47,5.36,7.52,7.75,9.22,4.88,2.42,34.25,19.07,2.48,2.56,,0.62,0.96,3.61,11.39,11.42,0.83,0.50,0.01,27.51,125.60,40.26,7.75,4.75,16.48,0.49,8.88,2.97,2.43,99.68,61.56,0.38,1.20,5.88,259.45,10.13,2.69,22.33,58.44,3.81,10.71,0.08,,0.27,1.81,3.06,1.88,70.17,1.00,0.93,19.91,13.27,,3.52,68.77,5.30,4.52,16.61,1.81,1.50,0.50,4.47
2011,9.74,9.54,3.89,49.89,17.32,20.71,0.25,2.88,1.87,118.86,3.27,26.50,1.32,5.87,8.53,7.79,7.97,4.93,2.36,32.16,18.65,2.50,2.63,,0.64,0.94,4.19,11.45,12.28,1.07,0.51,0.02,27.88,134.82,12.96,7.41,4.74,21.27,0.50,8.16,2.72,2.37,93.70,57.02,0.37,1.45,5.90,285.27,9.36,2.85,22.89,63.05,4.13,10.51,0.08,,0.22,1.12,2.73,1.95,66.76,0.88,0.94,25.32,13.58,,3.89,72.48,4.41,4.40,15.96,1.82,1.04,0.47,4.60
2012,9.15,9.54,3.78,52.91,16.60,21.24,0.27,3.17,1.86,113.89,2.98,27.24,1.13,5.91,8.77,7.51,7.15,4.90,2.30,33.03,16.89,2.53,2.83,,0.63,0.93,4.38,10.32,13.04,0.62,0.52,0.02,27.82,138.73,35.47,7.48,4.58,19.71,0.50,8.00,2.68,2.30,93.97,51.54,0.37,1.46,6.11,289.69,8.46,2.77,23.08,64.08,3.89,10.60,0.07,0.40,0.20,0.39,1.53,2.06,64.73,0.87,0.88,25.91,13.63,,4.12,72.19,3.79,4.28,15.60,1.76,0.82,0.29,4.63
2013,8.84,9.17,3.60,55.13,16.54,21.97,0.28,3.63,1.85,102.34,2.56,28.09,0.98,5.95,8.76,6.58,6.11,5.03,2.14,27.70,15.69,2.38,2.39,,0.63,0.91,4.90,9.82,12.53,1.55,0.50,0.02,27.94,130.37,25.13,7.44,4.49,20.69,0.51,8.45,2.52,2.06,88.19,49.76,0.36,1.51,6.04,276.69,7.15,2.47,23.44,60.83,4.13,10.33,0.06,1.24,0.15,0.43,0.81,2.05,64.47,0.79,0.79,25.56,13.82,,4.09,71.59,3.37,4.17,15.12,1.72,0.87,0.56,4.62
2014,8.99,8.64,3.54,58.15,16.11,22.16,0.29,3.73,2.03,101.86,2.76,29.33,0.93,5.84,8.76,6.28,5.74,5.24,1.97,26.73,15.00,2.31,2.28,,0.63,0.93,4.76,10.28,12.65,1.79,0.49,0.02,27.32,123.16,13.81,7.39,4.31,14.85,0.65,7.02,2.12,2.08,87.82,47.05,0.35,1.57,5.72,252.59,7.30,2.45,23.26,59.47,3.08,10.35,0.06,1.92,0.14,0.43,0.65,2.03,63.04,0.73,0.82,26.65,14.73,,3.08,68.44,3.29,4.11,15.05,1.68,0.65,1.02,4.61
2015,8.76,8.82,3.56,57.77,15.85,21.08,0.32,3.61,2.14,103.52,3.18,29.26,1.12,5.72,8.60,6.25,5.48,5.04,1.85,23.45,14.72,2.21,2.04,,0.60,0.95,4.71,10.54,15.06,1.93,0.47,0.02,23.86,117.21,12.26,7.77,3.97,14.36,0.74,5.31,1.72,2.05,91.59,46.88,0.35,1.43,5.61,233.20,6.60,2.51,23.51,59.94,3.92,9.77,0.06,1.85,0.10,0.38,0.59,1.97,59.30,0.65,0.62,26.97,14.51,,2.27,70.23,3.49,3.82,16.01,1.72,0.20,0.76,4.57
2016,9.15,8.28,3.52,58.41,15.39,19.99,0.33,3.35,2.18,98.78,2.79,29.45,1.14,5.28,8.43,5.95,5.03,5.03,1.72,19.32,14.82,2.03,1.43,,0.58,0.95,4.56,11.97,16.44,2.13,0.36,0.02,24.18,115.59,11.54,7.73,3.73,20.43,0.70,5.10,1.41,1.75,92.16,45.83,0.34,1.43,5.51,217.15,6.41,2.28,23.97,60.60,3.96,9.76,0.06,1.76,0.06,0.28,0.53,2.00,51.58,0.59,0.74,25.51,13.17,,2.38,69.70,3.44,3.73,14.60,1.58,0.14,0.46,4.43
2017,8.92,7.60,3.39,57.38,14.47,19.32,0.32,3.24,2.27,94.51,3.13,30.68,0.93,5.40,8.21,5.64,5.03,4.79,1.81,16.17,13.70,2.00,1.65,,0.51,0.94,4.41,12.75,16.44,2.21,0.37,0.02,26.46,106.04,21.77,7.73,3.40,28.21,0.68,4.34,1.40,1.79,93.62,43.63,0.34,1.33,5.27,202.55,7.27,2.41,24.84,58.21,3.97,9.63,0.05,1.99,0.09,0.23,0.52,1.92,52.19,0.50,0.71,23.50,13.70,,2.01,64.67,3.34,3.72,13.04,1.49,0.25,0.50,4.46
2018,8.70,6.67,3.49,60.09,14.58,19.36,0.32,2.98,2.21,91.63,2.83,31.90,1.06,5.63,7.91,5.42,4.21,4.58,1.97,14.16,12.30,1.89,1.55,,0.45,0.99,4.96,12.37,16.40,2.31,0.39,0.02,27.24,103.41,26.01,7.36,3.15,30.49,0.64,3.69,1.51,1.79,89.18,44.94,0.33,1.31,5.01,202.21,8.70,2.32,25.82,60.82,3.66,9.53,0.04,1.98,0.07,0.23,0.50,1.84,53.18,0.48,0.76,23.59,14.87,,2.11,62.87,3.45,3.96,10.21,1.52,0.33,0.56,4.58
2019,8.16,6.01,3.95,61.52,15.15,21.67,0.30,2.56,2.34,95.59,2.64,31.49,1.13,5.83,7.87,4.95,3.52,4.62,2.03,12.47,13.51,1.45,1.12,0.20,0.40,0.96,5.32,10.42,16.55,2.28,0.35,0.01,25.83,96.84,27.33,7.16,2.90,31.28,0.69,3.13,1.39,1.82,83.62,44.86,0.33,1.35,4.75,198.12,8.64,2.28,26.05,58.67,3.81,9.39,0.04,2.28,0.00,0.22,0.53,1.85,53.01,0.43,0.79,23.43,15.63,,2.09,65.38,3.43,3.83,7.00,1.57,0.33,0.43,4.59
2020,7.35,5.44,3.78,56.70,14.61,21.85,0.28,2.46,2.43,89.79,2.12,29.97,1.09,5.90,5.78,3.76,2.17,4.14,1.86,12.12,12.60,1.19,0.59,12.94,0.37,0.94,4.83,10.05,13.84,3.30,0.38,0.01,24.34,89.50,11.40,6.60,2.82,23.17,0.65,2.25,1.25,1.66,89.10,44.89,0.33,1.26,4.30,195.48,7.71,1.90,24.06,54.45,4.06,9.01,0.04,2.14,0.00,0.19,0.54,1.68,45.91,0.40,0.71,23.02,14.25,,1.96,61.02,3.28,3.08,4.94,1.46,0.29,0.44,4.31
2021,8.13,4.66,4.02,57.12,15.68,21.90,0.28,2.51,2.39,83.00,2.67,31.33,0.97,6.12,5.95,3.89,2.05,4.04,1.96,9.74,10.72,1.39,0.53,20.11,0.31,0.99,5.08,10.82,13.55,4.06,0.34,0.01,23.96,89.47,27.43,6.68,2.76,17.13,0.64,2.01,1.28,1.52,90.57,47.01,0.34,1.19,4.50,194.93,6.69,1.98,25.82,53.55,3.57,8.36,0.03,1.95,0.00,0.19,0.54,1.61,39.50,0.49,0.80,26.02,14.62,,1.93,58.51,2.70,3.28,5.36,1.48,0.27,0.51,4.41
2022,8.09,4.57,4.63,54.93,15.51,20.35,0.26,2.23,2.45,73.72,3.37,32.21,0.99,6.67,6.09,4.16,2.01,4.07,1.88,8.69,11.03,1.42,0.62,47.44,0.31,1.09,5.43,11.09,14.56,4.53,0.32,0.01,23.60,94.99,24.21,6.79,2.79,20.56,0.62,1.66,1.19,1.29,90.67,48.26,0.32,1.34,4.34,192.24,6.42,1.93,24.98,57.37,3.42,8.11,0.03,1.78,0.00,0.17,0.47,1.33,40.74,0.41,0.88,25.16,15.34,,1.85,61.49,2.69,3.11,5.76,1.51,0.23,0.62,4.58
2023,8.20,4.28,4.97,54.19,15.08,19.87,0.24,1.91,2.72,69.73,2.01,32.47,1.03,6.84,6.14,3.52,1.83,3.99,1.72,6.15,12.64,1.10,0.50,66.41,0.27,1.19,5.99,12.24,13.77,4.23,0.30,0.01,24.53,87.27,26.36,6.40,2.91,42.92,0.55,1.08,1.18,1.30,90.04,45.13,0.34,1.33,3.75,190.52,6.49,1.82,24.34,51.78,3.16,8.13,0.02,1.78,0.00,0.16,0.45,1.32,39.31,0.39,0.69,23.98,15.94,,1.99,57.99,2.39,2.81,6.40,1.42,0.14,0.77,4.64
2024,7.57,4.27,5.53,53.79,15.18,20.41,0.22,1.90,2.68,73.86,1.44,32.90,0.94,6.95,5.25,2.98,2.00,3.97,1.56,6.46,12.44,0.99,0.31,104.26,0.25,1.26,6.36,12.90,13.71,4.52,0.30,0.01,23.61,80.64,25.09,6.38,2.71,54.25,0.54,0.88,1.13,1.35,83.56,42.55,0.34,1.35,3.53,186.27,6.09,1.75,24.70,49.40,3.11,8.07,0.02,1.01,0.00,0.10,0.41,1.45,38.37,0.34,0.79,22.79,15.77,,1.88,56.94,2.12,2.68,7.14,1.30,0.12,0.87,4.64
