"Year","Algeria","Angola","Argentina","Australia","Azerbaijan","Bahrain","Bangladesh","Bolivia","Brazil","Brunei","Bulgaria","Canada","Chad","China","Colombia","Czech Republic","Denmark","Ecuador","Egypt","Equatorial Guinea","Gabon","Germany","Greece","Guyana","Hungary","India","Indonesia","Iran","Iraq","Israel","Italy","Japan","Kazakhstan","Kuwait","Libya","Malaysia","Mexico","Mongolia","Myanmar","Netherlands","New Zealand","Nigeria","Norway","Oman","Pakistan","Peru","Poland","Qatar","Republic of Congo","Romania","Russian Federation","Saudi Arabia","Serbia","South Africa","South Korea","South Sudan","Spain","Sudan","Syria","Thailand","Trinidad & Tobago","Tunisia","Turkey","Turkmenistan","US","USSR","Ukraine","United Arab Emirates","United Kingdom","Uzbekistan","Venezuela","Vietnam","Yemen","Zimbabwe","World"
1942,,,10.9,43.6,,,,,,1.1,2.3,45.8,,128.2,6.3,62.2,,0.9,3.4,,,489.4,0.2,,13.1,55.8,12.6,28.0,7.2,,0.1,110.0,,,,,16.9,,,,5.9,,,,,5.3,131.9,,,20.7,,1.7,,45.5,,,13.3,,,,9.7,,2.4,,1985.4,,,,491.3,,60.8,2.7,,3.9,
1943,,,11.3,42.4,,,,,,1.7,2.5,43.5,,110.7,7.5,69.2,,1.0,4.1,,,500.8,0.2,,12.8,48.5,20.5,28.9,10.0,,0.1,114.0,,,,,16.9,,,,6.2,,,,,5.7,142.2,,,19.2,,1.9,,45.9,,,13.7,,,,9.4,,3.1,,2063.8,,,,476.8,,72.8,2.3,,4.5,
1944,0.0,,11.1,41.2,,,,,,1.7,2.0,41.9,,105.0,11.5,66.4,,1.2,4.4,,,446.1,0.1,,10.1,49.6,9.9,39.5,11.6,,0.1,108.8,,,,,18.1,,,,6.2,,,,,5.6,110.5,,,13.0,,3.0,,51.3,,,15.0,,,,9.4,,3.5,,2206.1,,,,462.1,,105.5,1.2,,4.5,
1945,0.0,,10.4,40.6,,,,,,,2.3,40.4,,57.5,11.7,35.9,,1.1,4.3,,,181.7,0.0,,4.5,55.1,3.5,50.5,12.8,,0.1,61.4,,,,,20.3,,,,6.3,,,,,5.3,43.1,,,16.9,,8.2,,52.6,,,15.5,,,,9.3,,3.6,,2128.2,,,,438.1,,132.5,0.7,,4.2,
1946,0.0,,9.5,43.2,,,,,,,2.3,42.7,,37.4,11.5,44.6,,1.0,4.1,,,253.2,0.1,,6.7,56.1,1.2,56.8,13.0,,0.2,41.9,,2.3,,,22.7,,,,6.2,,,,,4.8,97.9,,,15.7,,23.1,,52.7,0.4,,15.5,,,,9.0,,3.5,,2103.4,,,,455.6,,159.3,0.6,,4.0,
1947,0.0,,10.0,46.1,,,,,,,2.7,39.0,,43.3,12.3,51.3,,0.9,4.3,,,276.3,0.1,,9.3,56.9,3.8,60.0,13.1,,0.2,56.0,,6.2,,0.1,26.0,,,0.0,6.1,,,,0.6,4.9,128.2,,,14.6,,34.7,,52.4,0.8,,15.2,,,,9.1,,3.8,,2382.6,,,,473.3,,178.9,0.5,,3.8,
1948,0.0,,10.6,47.2,,,,,,,2.7,46.4,,39.8,11.6,54.8,,1.1,6.1,,,312.9,0.1,,11.2,56.7,14.3,73.7,9.5,,0.3,69.3,,18.1,,0.1,27.0,,,0.0,6.1,,,,0.4,5.5,151.1,,,18.3,,55.1,,53.6,1.5,,15.4,,,,8.8,,3.9,,2399.5,,,,502.0,,201.4,0.8,,4.3,
1949,0.0,,10.4,47.2,,,,,,,3.3,51.3,,62.9,14.2,57.8,,1.1,7.3,,,359.2,0.1,,12.4,59.7,19.6,79.2,11.4,,0.5,78.0,,35.1,,0.2,25.5,,,0.0,6.2,,,,0.6,5.7,157.9,0.3,,21.1,,67.1,,56.9,1.8,,15.6,,,,9.3,,4.1,,2021.1,,,,515.8,,198.0,0.8,,4.8,
1950,0.0,,10.9,52.4,,,,,,,3.7,54.6,,81.8,17.3,61.0,,1.1,7.5,,,387.1,0.1,,13.9,60.8,22.6,93.8,18.3,,1.0,79.0,,49.0,,0.2,32.8,,,0.0,5.9,,,,0.8,6.6,166.2,4.7,,23.4,,77.0,,59.1,1.1,,15.9,,,,9.3,,4.2,,2269.0,,,,518.5,,224.3,1.1,,5.3,
1951,0.0,,11.5,55.9,,,,,,,4.0,61.1,,102.2,19.3,65.4,,1.1,7.5,,,422.6,0.1,,16.0,64.8,26.7,49.4,23.9,,1.9,89.0,,80.0,,0.1,34.8,,,0.0,5.4,,,,0.9,7.1,174.6,6.9,,28.5,,107.2,,59.4,0.5,,16.7,,,,9.3,,4.4,,2462.8,,,,534.3,,255.6,1.4,,5.8,
1952,0.1,,11.8,60.4,,,,,,,4.7,64.5,,132.0,18.6,71.0,,1.2,7.6,,,435.3,0.1,,19.5,68.2,28.6,3.9,51.6,,2.9,89.1,,106.6,,0.1,35.2,,,0.0,6.1,,,,1.1,7.2,179.9,9.7,,35.6,,116.5,,62.6,1.0,,17.8,,,,9.5,,4.4,,2367.9,,,,542.9,,271.7,1.9,,6.4,
1953,0.2,,12.9,58.5,,,,,,,5.2,69.0,,138.6,20.0,72.5,,1.3,7.8,,,454.1,0.2,,22.1,67.7,33.9,3.8,78.5,,4.6,95.6,,122.6,,0.1,33.3,,,0.0,5.6,,,,1.1,7.0,189.6,11.9,,42.5,,118.9,,63.5,1.5,,18.2,,,,9.8,,5.4,,2379.6,,,,537.4,,266.1,1.8,,6.6,
1954,0.2,,13.3,62.5,,,,,,,5.6,73.6,,166.4,21.1,78.9,,1.3,6.6,,,472.7,0.4,,22.6,69.4,35.9,8.7,85.3,,5.9,87.8,,136.4,,0.2,37.7,,,0.2,5.7,,,,1.0,7.5,196.0,14.0,,42.2,,135.4,,65.4,1.5,,18.4,,,0.0,10.3,,5.6,,2245.2,,,,537.2,,286.0,2.2,,6.9,
1955,0.2,,13.7,64.5,,,,,,,6.3,86.1,,196.7,21.8,83.4,,1.5,5.3,,,500.7,0.4,,23.4,72.1,39.0,46.8,93.2,,7.6,87.2,,157.0,,0.2,40.8,,,0.2,5.7,,,,1.0,7.5,202.1,16.1,,45.6,,137.6,,71.7,2.2,,18.3,,,0.0,10.8,,5.5,,2487.8,,,,531.1,,325.4,2.4,,8.3,
1956,0.1,0.0,14.0,65.5,,,,,,,6.8,102.5,,222.4,24.5,92.5,,1.4,5.0,,,516.3,0.4,,21.6,74.2,42.1,77.2,88.3,,10.2,95.7,,158.2,,0.2,41.3,,,0.3,5.8,,,,1.5,8.0,203.8,17.4,,48.0,,141.5,,75.0,3.1,,18.9,,,0.1,12.5,,5.9,,2664.9,,,,532.2,,371.3,2.7,,8.9,
1957,0.0,0.0,15.4,67.3,,,,,,,7.5,104.6,,262.6,26.3,99.7,,1.3,7.0,,0.5,523.6,0.5,,22.3,82.1,50.2,102.5,61.8,,13.0,106.3,,167.1,,0.2,41.4,0.7,,0.3,5.8,0.0,,,1.4,8.5,201.2,19.5,,50.5,,144.2,,77.6,4.2,,21.1,,,0.1,14.6,,6.9,,2669.3,,,,536.1,,419.4,2.4,,9.7,
1958,1.2,0.1,16.1,70.4,,,,,,,8.0,101.9,,522.4,26.2,107.1,,1.3,9.3,,1.4,522.3,0.6,,25.5,85.6,51.8,117.6,100.2,,14.1,102.1,,205.0,,0.2,46.2,0.8,,0.3,6.0,0.7,,,1.7,8.1,206.1,24.4,,53.2,,148.6,,82.8,4.6,,21.9,,,0.1,16.0,,7.2,,2448.5,,,,517.3,,394.3,3.4,,8.9,
1959,3.6,0.1,19.2,73.2,,,,,,,9.6,112.3,,703.8,29.4,104.5,,1.1,9.2,,2.1,513.9,0.8,,26.6,88.8,57.7,132.1,117.4,,16.3,97.1,,205.8,,0.2,49.6,1.0,,0.4,6.2,1.5,,,2.1,7.7,217.8,23.6,,55.4,,162.4,,81.3,7.1,,20.1,,,0.1,17.5,,6.9,,2561.2,,,,494.1,,419.4,4.9,,9.4,
1960,23.7,0.2,27.8,80.5,,,,,,,10.8,120.8,,763.3,30.1,112.2,,1.1,9.6,,2.3,529.3,1.3,,27.9,97.6,64.9,152.3,133.3,,17.8,104.9,,243.9,,0.2,50.7,1.1,,0.6,6.7,2.5,,,2.5,8.3,228.9,24.3,0.1,57.3,,185.7,,85.2,9.2,,19.9,,,0.1,18.2,,6.5,,2614.2,,,,464.1,,432.6,5.8,,8.9,
1961,43.0,0.3,37.8,87.2,,,,,,,11.7,139.0,,543.2,29.6,121.4,,1.2,11.1,,2.2,543.9,1.3,,29.6,104.2,66.9,170.9,137.6,0.0,18.5,112.0,,249.6,2.4,0.2,54.5,1.3,,0.8,6.5,6.4,,,2.9,8.4,235.7,24.7,0.3,59.4,,208.7,,88.3,10.1,,20.4,,,0.1,19.7,,6.3,,2639.6,,,,456.6,,443.0,6.3,,7.7,
1962,56.1,1.3,44.3,90.5,,,,,,,13.1,162.8,,446.3,29.9,128.2,,1.1,13.6,,2.3,558.4,1.4,,30.1,115.7,71.2,189.7,138.1,0.0,18.6,111.8,,282.0,24.6,0.2,56.9,1.5,,0.9,5.6,9.4,,,3.4,9.1,243.3,26.1,0.3,64.6,,231.4,,92.1,12.7,,19.5,,,0.1,20.9,,6.9,,2731.2,,,2.3,473.3,,485.0,7.8,,7.1,
1963,65.3,2.2,44.8,93.7,,0.1,,,,,13.8,174.6,,445.4,33.8,134.6,,1.0,16.3,,2.5,574.8,1.8,,32.0,127.1,70.2,211.9,159.1,0.0,18.8,107.0,,302.2,62.1,0.1,59.7,1.4,,1.0,6.1,,,,4.2,9.2,259.2,27.1,0.3,68.7,,251.5,,94.7,15.2,,19.9,,,0.1,20.8,,7.9,,2895.9,,,6.6,469.4,,493.1,7.6,,6.9,
1964,73.1,2.5,46.7,100.4,,0.1,,,,,15.3,190.3,,446.0,34.6,137.7,,1.2,,,3.0,583.9,2.0,,33.1,123.3,71.7,243.6,173.0,0.1,22.0,104.6,,332.3,115.8,0.1,61.5,1.1,,1.4,6.4,,,,4.6,10.1,278.0,30.1,0.2,72.2,,269.0,,100.2,16.5,,19.0,,,0.1,21.7,,8.7,,3005.0,,,25.4,464.2,,517.0,7.6,,6.9,
1965,77.1,1.8,46.9,115.4,,0.1,,,,,15.7,205.9,,485.5,39.5,133.7,,1.2,,,3.6,560.3,2.6,,33.0,135.9,75.9,270.9,182.8,0.1,21.5,101.8,,338.4,163.4,0.1,66.4,1.7,,3.0,5.9,,,,4.9,10.4,286.0,32.9,0.2,78.7,,314.9,,108.1,17.5,,20.2,,,0.1,21.0,,8.8,,3115.3,684.3,,38.5,449.7,,533.0,7.9,,7.6,4416.3
1966,98.6,1.8,50.0,122.3,,0.1,,,,,15.8,222.1,,531.5,37.9,133.7,,1.1,,,4.1,544.3,2.6,,31.9,142.5,74.1,302.7,194.2,0.2,22.2,105.5,,356.7,201.9,0.1,68.0,2.0,,5.9,5.7,,,,5.4,10.5,296.0,41.0,0.2,83.1,,371.3,,107.0,19.9,,19.9,,,0.2,23.8,2.2,9.9,,3288.4,746.9,,49.1,418.7,,518.7,7.9,,7.7,4795.6
1967,112.9,1.5,54.2,130.5,,0.1,,,,,18.2,241.3,,444.6,38.3,129.1,,0.9,,,9.7,520.6,2.7,,28.4,146.7,78.2,369.4,171.3,0.2,22.9,97.6,,360.7,232.0,0.1,74.8,2.1,,12.3,5.2,,,8.0,6.2,11.6,299.0,45.7,0.1,89.0,,400.4,,110.0,21.3,,19.3,,,0.3,27.7,6.3,9.4,,3458.9,811.7,,53.1,412.9,,545.8,6.7,,6.9,5144.8
1968,124.2,2.1,59.5,144.2,,0.6,,,,,18.0,262.9,,482.8,36.3,133.7,,0.8,,,13.1,535.8,3.0,,28.6,154.4,92.0,404.1,210.4,0.3,24.7,95.7,,380.8,348.9,0.5,80.3,2.5,,24.6,4.9,,,33.7,6.3,12.2,316.4,48.9,0.1,93.3,,437.9,,115.3,17.5,,19.4,,3.0,0.3,29.7,9.0,10.4,,3555.3,871.1,,69.2,393.4,,557.2,7.4,,7.0,5612.8
1969,130.8,6.9,61.2,155.3,,0.7,,,,,18.2,290.6,,584.7,42.6,141.1,,0.6,,,14.2,555.4,3.4,,27.8,165.5,96.6,480.1,212.6,0.3,27.6,91.8,,403.4,416.1,1.2,85.9,2.8,,38.2,5.1,,,45.6,7.7,11.8,339.8,51.7,0.1,97.1,,462.1,,117.7,17.6,,18.3,,7.4,0.4,24.9,10.4,10.6,,3677.0,924.9,,86.9,361.0,,555.0,6.5,,7.7,6041.6
1970,140.9,14.3,67.9,180.0,,1.3,,0.1,35.1,19.4,18.4,339.1,,777.9,42.0,145.7,,0.6,46.4,,15.3,567.7,3.9,,29.2,161.9,124.4,549.5,216.4,0.3,29.1,81.6,,431.5,450.0,2.4,93.8,3.4,0.0,55.3,5.2,150.5,,46.3,8.0,11.7,356.2,53.0,0.1,102.0,,544.4,,121.9,21.2,,17.4,,11.9,0.4,23.1,11.7,10.6,,3893.2,1365.7,,108.0,363.2,,572.7,6.6,,8.0,8577.5
1971,108.8,16.1,73.3,198.6,,1.9,0.9,0.1,37.4,18.5,17.0,367.2,,875.7,42.7,150.6,,0.6,42.3,,16.3,569.6,5.6,,28.8,159.2,130.4,661.0,236.8,0.2,29.2,68.7,,461.9,369.5,9.5,93.1,3.6,0.0,76.4,4.6,212.9,0.8,41.0,7.4,10.2,370.9,62.4,0.0,106.2,,680.9,,130.9,21.9,,17.7,,14.9,0.5,21.7,11.6,10.4,,3792.4,1460.3,,147.4,383.7,,551.5,7.1,,7.8,9091.7
1972,146.5,19.9,74.5,212.3,,2.3,0.9,2.2,37.4,26.4,17.1,419.6,,930.1,38.6,150.6,0.3,11.8,30.3,,17.8,556.3,5.8,,27.2,164.7,156.8,737.3,205.8,0.2,30.3,57.7,,476.1,306.3,12.8,97.0,3.8,0.0,101.8,4.7,253.2,4.5,39.5,7.8,10.6,389.3,70.1,0.9,110.3,,860.0,,130.4,21.2,,18.1,,16.5,0.4,23.5,11.2,10.9,,3882.7,1543.1,,167.4,334.9,,506.1,4.4,,6.9,9593.0
1973,154.2,23.0,73.8,234.5,,3.3,1.2,3.4,37.2,36.0,16.8,471.2,,973.3,39.8,145.4,0.4,31.6,24.0,,21.4,561.5,6.7,,28.1,168.9,194.1,857.1,281.8,0.1,32.2,46.1,,438.5,303.3,12.5,101.8,4.0,0.0,123.8,5.4,285.9,4.4,40.9,8.3,11.5,403.3,83.2,5.9,114.9,,1085.3,,139.1,23.2,,16.6,,15.6,0.4,26.8,10.9,12.2,,3838.2,1651.6,,212.4,364.6,,531.4,6.6,,7.7,10374.5
1974,144.7,24.1,73.5,246.3,,4.1,1.3,3.6,38.5,35.6,15.3,453.4,,1004.0,38.2,146.8,0.3,26.7,21.1,,28.7,565.2,7.3,,27.1,182.3,199.5,880.1,275.6,0.1,32.1,41.8,,371.4,215.0,11.4,122.4,4.2,0.3,146.8,5.6,313.7,4.8,40.5,9.3,12.4,415.0,75.3,6.9,119.3,,1214.7,,147.4,26.2,,17.0,,18.1,0.5,29.4,11.7,13.3,,3745.0,1781.4,,232.4,322.1,,474.0,8.8,,8.3,10440.5
1975,144.0,21.9,71.9,265.7,,4.3,0.9,3.5,39.7,36.5,17.5,428.3,,1168.7,36.7,152.7,0.4,24.3,33.2,,31.9,560.1,9.2,,26.2,206.2,190.9,786.1,317.1,0.1,31.1,39.0,,305.7,210.2,13.8,144.6,4.7,0.4,159.0,5.3,248.1,26.0,47.6,9.8,11.8,434.6,65.4,5.0,124.3,,1017.4,,155.0,30.1,,18.0,,26.9,0.5,33.2,13.0,14.0,,3695.0,1925.0,,230.2,376.8,,378.9,11.7,,8.3,10038.0
1976,162.5,21.3,71.6,273.8,,4.5,1.4,3.6,40.4,44.0,16.0,412.2,,1210.8,35.7,157.0,0.6,28.5,47.5,,31.9,570.4,11.4,,26.1,220.6,219.7,864.1,340.1,0.1,33.3,37.9,,316.9,272.4,23.2,157.6,5.0,0.5,169.9,5.4,288.8,38.5,51.3,10.0,12.6,449.9,70.8,5.9,128.6,,1237.4,,172.0,28.1,,18.8,,28.3,0.7,33.1,10.5,15.6,,3713.9,2065.8,,268.7,397.6,,377.5,12.1,,9.2,10805.2
1977,171.8,19.9,76.7,298.9,,4.9,1.6,3.8,32.2,47.5,15.8,427.3,,1358.0,35.3,161.6,1.4,27.7,59.8,,31.7,559.7,12.2,,26.5,239.9,251.2,832.6,329.0,0.1,29.6,37.6,,291.8,290.2,25.3,187.2,5.7,0.4,170.4,5.2,291.0,44.7,47.4,10.3,14.7,467.0,64.2,4.6,132.9,,1327.3,,190.6,29.5,,22.7,,25.7,0.4,36.0,12.1,17.2,,3753.5,2186.3,,280.2,470.9,,370.6,13.7,,7.6,11200.3
1978,183.2,18.2,80.4,301.1,,5.4,1.7,3.8,34.2,48.9,16.2,425.2,,1543.3,36.7,164.1,1.1,30.7,72.4,,29.9,539.6,11.1,,26.7,228.1,253.8,763.5,358.9,0.1,30.2,39.1,,315.3,279.1,33.8,228.9,6.5,0.5,156.0,4.8,265.2,76.8,44.4,10.5,23.6,481.5,70.9,6.8,132.8,,1206.4,,201.6,30.9,,25.3,,25.2,0.7,36.9,13.9,18.9,,3752.6,2307.9,,260.8,514.3,,358.0,13.3,,7.7,11364.6
1979,201.0,20.3,82.3,312.7,,6.0,2.0,4.1,42.1,52.5,17.7,469.7,,1570.3,36.5,165.9,1.1,32.5,75.8,,27.6,573.6,12.1,,27.0,236.1,256.5,469.0,486.9,0.1,30.2,36.3,,376.9,297.5,43.8,276.1,7.0,0.5,163.6,4.2,322.0,95.5,42.2,12.1,29.5,491.0,79.9,7.8,129.1,,1388.0,,231.6,31.2,,28.9,,23.5,1.4,34.8,15.6,20.5,,3989.2,2412.1,,261.6,579.8,,390.6,11.7,,8.0,11911.2
1980,175.7,20.9,87.3,313.6,,4.8,2.4,5.1,40.2,49.7,19.0,457.9,,1542.5,37.4,164.4,0.8,31.1,88.1,,25.1,581.2,11.9,,27.0,237.8,260.6,217.9,371.7,0.0,28.4,41.9,,252.3,258.5,42.4,359.1,8.2,0.7,158.2,4.7,289.5,119.9,41.1,14.9,30.1,470.9,76.4,8.9,131.7,,1454.5,,256.9,31.9,,36.6,,22.3,1.5,35.3,15.9,22.1,,4098.4,2515.2,,250.6,601.2,,363.3,11.7,,7.9,11535.5
1981,164.7,20.2,89.3,347.4,,4.5,2.7,5.4,45.6,40.0,18.4,438.6,,1519.4,37.2,166.0,2.1,32.0,95.2,,21.6,616.4,13.5,,27.9,294.2,263.9,196.1,126.5,0.0,30.7,37.8,,174.0,172.5,39.2,420.8,7.6,0.8,146.9,4.8,204.4,117.5,47.4,15.7,29.9,409.9,67.2,11.6,137.7,,1447.8,,291.2,34.0,,46.9,,23.1,2.5,32.5,15.2,27.0,,4088.4,3934.6,,225.8,627.4,,352.9,13.1,,7.2,18249.8
1982,174.9,18.1,90.9,351.4,,7.1,3.5,5.6,54.6,40.6,20.2,448.6,,1607.3,39.8,167.7,4.7,32.0,98.9,,22.0,614.4,14.2,,28.0,306.7,227.3,351.7,137.9,0.1,32.1,38.3,,127.1,162.4,46.4,490.5,8.7,0.9,125.6,4.9,183.4,118.2,48.7,17.2,30.3,476.0,57.9,12.8,139.9,,981.0,,322.1,34.4,,50.4,,21.8,5.5,32.2,14.5,29.0,,4046.1,4022.7,,199.9,659.8,,324.1,13.8,,6.9,18192.4
1983,192.7,24.8,97.6,363.2,,7.4,3.9,5.4,67.0,41.4,20.3,454.8,,1712.7,43.8,170.4,5.9,36.1,108.6,,22.2,585.8,15.5,,26.9,337.3,244.4,361.3,154.0,0.1,30.7,37.1,,162.6,160.0,65.0,482.2,8.8,1.2,133.8,5.4,176.9,134.8,56.5,17.1,26.2,484.4,54.0,15.1,144.9,,699.0,,325.5,34.0,,51.2,,22.7,6.8,30.1,15.6,30.6,,3832.7,4097.8,,187.1,682.0,,308.5,13.8,,8.4,18099.7
1984,204.7,28.4,96.8,394.0,,7.7,4.5,5.2,89.3,40.7,20.3,513.3,,1882.4,50.4,172.9,6.9,39.3,125.5,,24.6,591.8,16.8,,26.2,359.0,273.3,306.6,171.7,0.1,32.2,36.2,,179.3,144.6,80.3,485.5,9.6,1.2,135.4,5.6,198.4,152.3,61.0,18.3,28.6,486.1,60.5,17.0,143.4,,651.3,,364.5,36.6,,50.7,,23.0,10.3,31.9,15.4,34.3,,4173.9,4169.7,,185.0,548.3,,313.1,11.0,,7.8,18825.6
1985,206.5,32.3,94.8,472.2,64.5,9.3,5.1,5.1,103.3,39.6,19.4,538.9,,2074.0,58.2,170.8,10.6,42.9,136.4,,24.3,612.0,18.8,,25.5,375.1,256.4,330.1,198.4,0.1,33.3,35.7,294.2,164.2,146.1,82.1,477.1,11.5,1.8,141.8,5.4,213.0,161.9,73.1,18.4,28.9,489.9,54.3,16.7,139.7,3091.4,520.1,,388.0,38.6,,50.2,,22.6,17.8,32.7,15.2,41.4,174.9,4090.8,,442.8,183.2,661.7,77.1,296.0,12.3,,7.8,19231.3
1986,212.2,39.2,94.3,488.4,63.1,10.7,5.8,5.2,107.6,39.3,22.1,519.4,,2134.2,81.2,170.5,14.1,44.7,126.7,,23.4,585.9,19.7,,24.1,403.8,271.7,307.8,265.5,0.1,37.0,34.8,307.8,178.1,151.9,97.1,446.7,12.5,2.1,129.6,5.6,209.3,172.5,82.3,19.2,27.3,497.1,60.5,16.8,140.6,3244.0,759.0,,395.7,41.5,,51.5,,28.9,18.9,31.9,14.8,44.2,177.1,4038.9,,445.7,211.4,699.5,86.0,320.8,13.4,1.3,10.2,19896.3
1987,226.7,49.3,92.8,510.9,63.3,10.4,6.8,5.4,106.6,37.9,23.0,545.9,,2210.5,104.1,169.5,17.8,26.5,142.3,,21.8,571.6,23.2,,23.9,432.1,275.8,351.4,337.4,0.1,41.6,28.4,318.4,155.8,142.6,98.7,466.1,13.7,2.3,129.9,4.9,192.8,196.5,86.0,20.9,25.3,502.4,54.5,17.8,139.0,3348.6,652.2,,394.4,41.5,,44.7,,33.1,23.0,30.5,14.1,47.5,183.3,4086.3,,433.9,224.7,683.8,87.5,324.0,14.6,3.5,12.1,20239.2
1988,237.3,62.9,101.4,500.6,61.7,11.0,8.0,5.8,105.8,37.9,21.4,605.0,,2320.2,104.1,165.5,18.2,46.5,137.8,,25.1,565.3,24.5,,22.1,460.0,278.7,355.2,395.6,0.1,44.6,24.4,322.8,190.5,150.4,105.7,464.4,15.2,2.0,114.6,5.5,199.3,216.2,91.5,22.4,22.0,502.3,61.7,19.8,142.1,3453.6,824.7,,405.2,41.6,,42.3,,39.4,26.1,31.4,13.9,43.1,181.5,4142.9,,425.8,236.5,655.8,87.6,341.2,15.3,23.0,12.7,20952.7
1989,249.7,63.8,104.8,534.8,58.5,11.5,8.4,6.1,110.4,37.5,21.5,619.3,,2467.9,118.3,158.4,21.7,42.9,140.2,,28.8,542.0,27.7,,21.1,500.0,304.6,436.1,403.6,0.1,44.7,22.2,315.0,208.1,167.4,114.8,464.3,14.2,2.1,125.3,6.2,253.0,267.5,94.8,23.7,20.2,463.7,68.2,22.4,135.8,3424.7,820.0,,393.1,35.6,,45.3,,50.6,28.3,31.1,14.0,49.7,184.6,4129.3,,400.9,279.0,580.5,91.4,346.6,15.4,24.0,12.8,21336.6
1990,266.6,65.9,106.0,572.4,54.3,12.0,9.1,6.2,108.9,38.1,19.8,621.5,,2520.2,128.5,141.1,23.1,43.7,143.6,,38.0,516.1,27.7,,19.1,532.6,322.4,507.5,304.1,0.1,45.4,18.0,304.6,139.7,201.1,118.9,474.4,12.7,1.7,125.5,5.8,254.1,281.5,101.3,25.1,19.9,394.2,72.4,22.6,107.8,3361.8,1028.3,,389.5,30.1,,44.3,,60.1,34.1,31.6,13.4,45.6,172.9,4224.3,,390.3,301.2,571.8,87.8,386.2,18.8,24.5,13.8,21605.8
1991,275.6,69.1,111.3,586.3,49.8,11.5,9.3,6.2,109.3,40.0,18.1,640.5,,2542.8,125.1,131.9,27.6,45.9,145.3,,41.4,443.3,26.9,,18.5,558.3,356.7,549.0,42.6,0.1,44.7,17.5,305.9,26.9,203.6,129.0,495.4,12.5,1.7,141.9,6.1,278.1,313.5,104.4,26.8,17.8,378.5,73.1,22.7,93.3,3135.5,1272.9,,397.4,26.4,,40.6,,69.8,40.7,31.4,15.3,42.8,165.9,4157.6,,332.8,347.0,585.9,89.2,424.9,22.6,26.5,14.1,21394.2
1992,274.0,76.5,120.5,619.7,46.8,13.4,10.2,5.6,111.1,44.0,20.9,655.5,,2602.7,132.2,122.2,30.1,49.2,148.3,0.3,40.7,410.6,27.2,,16.8,577.4,370.0,556.1,77.9,0.0,46.6,16.5,297.3,156.9,209.1,132.4,493.6,11.1,1.7,142.5,7.0,288.9,351.9,109.7,26.6,17.9,368.3,82.8,24.3,88.3,2932.2,1317.4,,406.8,20.9,,41.2,,76.0,44.3,30.2,15.4,47.1,114.2,4142.8,,311.9,374.3,572.6,90.5,425.3,27.2,24.6,13.9,21515.4
1993,274.9,69.9,128.9,618.7,42.0,14.3,11.4,5.6,114.3,44.0,20.3,702.9,,2676.9,133.7,119.6,32.4,52.8,155.4,0.7,42.9,372.4,27.9,,14.5,589.6,386.3,551.9,67.7,0.0,49.2,15.7,262.1,282.3,198.2,133.9,498.8,9.9,2.1,145.3,7.9,286.4,370.3,114.4,30.1,19.4,358.0,78.4,26.9,87.8,2699.1,1284.8,,415.9,16.5,,40.6,0.3,83.0,47.5,30.1,13.9,44.9,128.9,3982.1,,268.2,366.6,569.4,95.9,446.0,32.4,27.9,13.3,21290.2
1994,264.9,77.3,140.1,642.5,39.3,14.7,12.1,6.0,119.6,44.7,19.6,744.7,,2857.8,136.7,109.3,35.5,58.0,154.0,0.7,47.4,347.1,28.6,,13.8,612.9,413.5,573.1,75.8,0.0,51.9,15.1,239.0,302.4,202.2,138.2,508.4,9.1,2.8,137.8,7.2,273.9,415.0,119.4,30.4,19.6,357.4,77.8,26.9,84.0,2510.9,1298.0,,432.2,12.9,,38.4,0.3,82.9,51.7,32.7,12.8,47.1,75.8,4169.0,,225.2,374.7,605.9,104.1,473.9,33.6,46.2,13.7,21663.7
1995,278.9,87.8,153.7,666.1,38.6,14.9,13.3,6.0,124.0,46.8,20.6,784.9,,3101.9,164.8,105.9,36.4,59.2,155.1,1.0,50.0,340.7,29.2,,14.0,656.7,433.3,585.6,79.3,0.0,52.4,13.6,206.1,312.9,203.2,149.9,497.0,8.9,3.2,140.1,8.8,276.9,444.5,128.2,31.3,18.8,365.9,79.9,26.1,83.5,2431.7,1295.7,,454.7,10.0,,37.9,0.3,88.6,54.1,33.6,12.5,47.0,69.2,4137.3,,198.2,382.8,639.9,110.5,510.4,39.9,46.9,13.9,22115.5
1996,295.4,99.6,170.7,686.4,37.0,15.4,14.3,6.1,138.6,45.3,21.0,800.1,,3202.9,182.3,107.2,41.9,59.0,152.3,2.4,51.4,323.8,28.0,,15.0,691.9,460.1,600.0,86.6,0.0,53.0,14.1,202.7,313.7,205.3,166.7,536.1,9.0,3.1,158.6,9.0,281.8,509.2,133.2,34.0,18.6,362.7,95.6,29.2,82.4,2416.4,1315.9,,454.9,8.7,,37.4,0.7,87.7,62.3,35.3,12.4,47.8,75.1,4208.2,,158.0,394.6,660.9,112.1,542.5,46.7,47.7,13.0,22681.9
