"YYYYMM","ISO3","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
202008,"ESP",0.976042,9.744133,5.112379,0.767009
202009,"ESP",0.894788,9.869087,5.228859,0.811586
202010,"ESP",1.057396,10.476525,5.148337,0.900667
202011,"ESP",1.468314,9.524062,5.795335,0.848553
202012,"ESP",0.812103,10.789699,6.386739,0.614871
202101,"ESP",1.730914,9.492365,7.069674,0.546356
202102,"ESP",0.993288,9.033340,5.075286,0.651038
202103,"ESP",0.885499,11.122456,5.782384,0.862594
202104,"ESP",1.039730,9.518751,5.562131,0.791332
202105,"ESP",1.332455,10.082191,4.851990,0.793448
202106,"ESP",0.956156,10.733006,4.909770,0.764823
202107,"ESP",1.187268,11.523707,5.014103,0.811899
202108,"ESP",0.945920,10.774566,5.062515,0.811250
202109,"ESP",1.570923,10.968790,5.258173,0.712815
202110,"ESP",1.505073,11.149609,5.357735,0.828038
202111,"ESP",1.633664,11.637436,7.240771,0.693966
202112,"ESP",1.845101,11.580866,6.918247,0.452223
202201,"ESP",1.867906,10.594699,7.718081,0.604353
202202,"ESP",1.315389,10.642786,6.392908,0.652018
202203,"ESP",1.500085,10.620327,6.285783,0.602059
202204,"ESP",1.597110,11.031695,4.958077,0.718418
202205,"ESP",1.150972,11.083747,4.804627,0.778217
202206,"ESP",1.824100,11.172765,5.377632,0.648497
202207,"ESP",1.769090,11.018057,5.733012,0.635156
202208,"ESP",1.611424,11.053596,5.235715,0.717046
202209,"ESP",1.425243,11.034789,5.207857,0.661246
202210,"ESP",0.884686,10.825776,5.169743,0.788330
202211,"ESP",1.015882,10.940770,5.170111,0.753130
202212,"ESP",1.337742,12.154074,5.208242,0.452542
202301,"ESP",0.946323,9.836540,5.293459,0.580172
202302,"ESP",1.046606,10.629545,5.991740,0.693731
202303,"ESP",0.853086,11.362139,5.117664,0.746213
202304,"ESP",0.779928,10.024941,4.249942,0.648648
202305,"ESP",0.982327,10.676014,4.375868,0.582003
202306,"ESP",1.048218,10.926364,4.675956,0.710697
202307,"ESP",1.088129,10.999160,4.690023,0.694548
202308,"ESP",1.228708,10.612292,4.472887,0.630757
202309,"ESP",1.275530,10.610081,4.731929,0.686888
202310,"ESP",0.950447,10.773628,4.502798,0.729593
202311,"ESP",0.930832,10.800908,4.674475,0.699508
202312,"ESP",0.809678,10.829827,5.432882,0.440540
202401,"ESP",0.864260,10.676330,5.743076,0.442435
202402,"ESP",0.739783,10.346318,4.749954,0.663902
202403,"ESP",1.040877,11.037037,4.591452,0.686036
202404,"ESP",0.870000,11.163858,3.868307,0.682659
202405,"ESP",0.978414,11.135541,3.810116,0.674010
202406,"ESP",1.014643,10.317005,3.588999,0.631785
202407,"ESP",0.886746,11.230918,4.043054,0.721389
202408,"ESP",0.922765,10.930537,3.860358,0.690521
202409,"ESP",1.033827,10.647537,3.864173,0.588888
202410,"ESP",1.230788,11.330790,4.096431,0.686378
202411,"ESP",0.889690,10.640524,5.039984,0.728126
202412,"ESP",1.016814,11.127891,6.022124,0.557814
202501,"ESP",0.987954,10.587538,5.594923,0.482054
202502,"ESP",1.115448,10.120851,4.882486,0.586961
202503,"ESP",0.944321,10.903279,4.817231,0.641608
202504,"ESP",1.066835,10.969578,3.931915,0.602238
202505,"ESP",0.910874,10.823551,4.179385,0.615781
202506,"ESP",0.977798,10.783993,4.336011,0.734304
202507,"ESP",0.685170,11.593163,4.344638,0.615084
202508,"ESP",0.803525,10.654365,3.944788,0.651607
202509,"ESP",0.640357,10.767708,4.186543,0.702283
202510,"ESP",0.427954,11.433703,4.969617,0.630517
202511,"ESP",0.465692,10.553663,5.299184,0.666897
202512,"ESP",0.596298,11.596305,6.023402,0.596874
202601,"ESP",0.586274,10.787530,6.192869,0.480017
202602,"ESP",0.457797,10.065972,4.700921,
202603,"ESP",0.431623,11.504589,4.863936,
202604,"ESP",0.560297,10.690298,3.961679,
202605,"ESP",0.737354,10.487299,4.089304,
202606,"ESP",0.691427,11.612224,4.072539,
202607,"ESP",,,4.669438,
202608,"ESP",,,4.278325,
202609,"ESP",,,,
202610,"ESP",,,,
202611,"ESP",,,,
202612,"ESP",,,,
200801,"EST",1.203858,0.171184,0.172971,
200802,"EST",1.142820,0.171184,0.172335,
200803,"EST",0.946474,0.109318,0.220331,
200804,"EST",1.188709,0.333532,0.179373,
200805,"EST",0.922401,0.336253,0.134310,
200806,"EST",0.959263,0.333532,0.091544,
200807,"EST",0.823089,0.333532,0.077370,
200808,"EST",0.872487,0.296029,0.045699,
200809,"EST",0.949219,0.333532,0.046725,
200810,"EST",1.085618,0.217618,0.172335,
200811,"EST",1.248243,0.258931,0.088563,
200812,"EST",0.979678,0.292487,0.254300,
200901,"EST",0.992820,0.269095,0.173032,
200902,"EST",0.961023,0.194433,0.164601,
200903,"EST",0.917021,0.203446,0.197488,
200904,"EST",0.839927,0.189533,0.143049,
200905,"EST",0.727980,0.285446,0.090061,
200906,"EST",0.647272,0.346590,0.053434,
200907,"EST",0.607307,0.110115,0.044947,
200908,"EST",0.807662,0.188253,0.078504,
200909,"EST",0.715127,0.272917,0.045282,
200910,"EST",0.917021,0.223560,0.045617,
200911,"EST",0.900820,0.279476,0.045617,
200912,"EST",0.987554,0.338135,0.117867,
201001,"EST",1.270498,0.301309,0.169557,
201002,"EST",1.101024,0.238402,0.229956,
201003,"EST",1.373116,0.271746,0.188880,
201004,"EST",1.204069,0.299092,0.159274,
201005,"EST",1.100460,0.208703,0.093395,
201006,"EST",0.939886,0.235054,0.057404,
201007,"EST",1.003010,0.258636,0.037234,
201008,"EST",1.179482,0.298003,0.037234,
201009,"EST",1.130565,0.267428,0.041528,
201010,"EST",1.234738,0.237279,0.055879,
201011,"EST",1.334246,0.193734,0.100683,
201012,"EST",1.390907,0.243502,0.130346,
201101,"EST",1.309032,0.205122,0.182621,
201102,"EST",1.154932,0.198825,0.162233,
201103,"EST",1.321526,0.317210,0.186709,
201104,"EST",1.031948,0.281046,0.145984,
201105,"EST",1.082949,0.281046,0.086558,
201106,"EST",1.065991,0.288206,0.050637,
201107,"EST",1.085355,0.275385,0.037148,
201108,"EST",1.256086,0.314421,0.037710,
201109,"EST",1.164622,0.238859,0.036892,
201110,"EST",1.178798,0.254669,0.041338,
201111,"EST",1.288846,0.202428,0.087631,
201112,"EST",1.241559,0.288032,0.108888,
201201,"EST",1.151033,0.223306,0.173275,
201202,"EST",1.183486,0.212910,0.197838,
201203,"EST",1.075668,0.344182,0.138235,
201204,"EST",0.929236,0.167363,0.101711,
201205,"EST",0.974340,0.341115,0.054167,
201206,"EST",0.759553,0.341201,0.039686,
201207,"EST",1.234164,0.279293,0.043195,
201208,"EST",1.178926,0.266554,0.036276,
201209,"EST",1.049515,0.237443,0.046803,
201210,"EST",1.004734,0.251278,0.087873,
201211,"EST",1.036023,0.304026,0.116291,
201212,"EST",1.025545,0.260225,0.218595,
201301,"EST",1.265836,0.250638,0.193808,
201302,"EST",1.213690,0.243302,0.144223,
201303,"EST",1.279887,0.243302,0.185667,
201304,"EST",1.071601,0.250799,0.117673,
201305,"EST",1.135289,0.247693,0.076136,
201306,"EST",0.846874,0.286641,0.061380,
201307,"EST",1.391575,0.297178,0.068319,
201308,"EST",1.344588,0.314168,0.035986,
201309,"EST",1.286611,0.261050,0.041259,
201310,"EST",1.422905,0.279543,0.071695,
201311,"EST",1.240912,0.271735,0.088809,
201312,"EST",1.032302,0.260994,0.109069,
201401,"EST",1.317341,0.260522,0.172243,
201402,"EST",0.631691,0.183966,0.118476,
201403,"EST",1.125186,0.267249,0.109623,
201404,"EST",1.050197,0.271003,0.078437,
201405,"EST",1.147381,0.257936,0.056353,
201406,"EST",1.279051,0.271450,0.036160,
201407,"EST",1.280166,0.300989,0.033324,
201408,"EST",1.155806,0.297958,0.039890,
201409,"EST",1.136873,0.310558,0.043968,
201410,"EST",1.314348,0.270689,0.082714,
201411,"EST",1.306078,0.277254,0.107185,
201412,"EST",1.327807,0.261225,0.129418,
201501,"EST",1.166372,0.274797,0.134772,
201502,"EST",1.069346,0.243397,0.109947,
201503,"EST",0.952756,0.209092,0.110245,
201504,"EST",0.962696,0.268052,0.076963,
201505,"EST",0.946137,0.278988,0.053431,
201506,"EST",0.966455,0.279189,0.037312,
201507,"EST",0.621283,0.306776,0.033133,
201508,"EST",0.953247,0.320695,0.038506,
201509,"EST",0.892864,0.306247,0.041491,
201510,"EST",0.954927,0.268178,0.077460,
201511,"EST",0.962157,0.281769,0.086067,
201512,"EST",0.822465,0.295865,0.104325,
201601,"EST",1.361772,0.319316,0.187309,
201602,"EST",0.825382,0.255364,0.117192,
201603,"EST",0.759153,0.255107,0.113211,
201604,"EST",0.966647,0.230553,0.077879,
201605,"EST",0.639962,0.259199,0.042299,
201606,"EST",0.680525,0.269559,0.034635,
201607,"EST",1.070946,0.312270,0.031749,
201608,"EST",1.271563,0.315590,0.032694,
201609,"EST",1.343112,0.325433,0.037621,
201610,"EST",1.377074,0.290028,0.087981,
201611,"EST",1.359732,0.276152,0.112017,
201612,"EST",1.107464,0.318288,0.116844,
201701,"EST",1.310585,0.350270,0.129696,
201702,"EST",1.184652,0.345945,0.118213,
201703,"EST",1.240472,0.289455,0.107067,
201704,"EST",1.017959,0.207517,0.081012,
201705,"EST",1.350837,0.282658,0.052689,
201706,"EST",1.157061,0.289786,0.032183,
201707,"EST",1.041418,0.264845,0.033582,
201708,"EST",1.077482,0.311063,0.035464,
201709,"EST",1.173797,0.289371,0.043522,
201710,"EST",1.103947,0.278593,0.080819,
201711,"EST",1.253148,0.260496,0.092544,
201712,"EST",0.965702,0.264278,0.106295,
201801,"EST",1.096362,0.248039,0.127415,
201802,"EST",1.101994,0.278606,0.140222,
201803,"EST",1.348808,0.268518,0.137680,
201804,"EST",1.164624,0.248175,0.070659,
201805,"EST",1.062858,0.292497,0.039366,
201806,"EST",0.934827,0.319760,0.033685,
201807,"EST",0.939674,0.323156,0.035927,
201808,"EST",1.148852,0.323177,0.047089,
201809,"EST",0.979630,0.272017,0.039914,
201810,"EST",0.999693,0.258428,0.072253,
201811,"EST",1.158875,0.271934,0.089196,
201812,"EST",1.126532,0.292437,0.125372,
201901,"EST",1.000977,0.274780,0.142020,
201902,"EST",0.791619,0.277852,0.101935,
201903,"EST",0.776712,0.269132,0.101336,
201904,"EST",1.024833,0.257554,0.064146,
201905,"EST",0.526607,0.254627,0.049570,
201906,"EST",0.402563,0.254500,0.030600,
201907,"EST",0.401804,0.280976,0.033096,
201908,"EST",0.394024,0.292464,0.036790,
201909,"EST",0.641793,0.280976,0.045127,
201910,"EST",0.551556,0.262940,0.069188,
201911,"EST",0.673763,0.265814,0.083914,
201912,"EST",0.589480,0.283478,0.125596,
202001,"EST",0.480636,0.262151,0.103138,
202002,"EST",0.447223,0.262039,0.095062,
202003,"EST",0.477567,0.229734,0.096508,
202004,"EST",0.324549,0.212053,0.070786,
202005,"EST",0.408698,0.206156,0.049699,
202006,"EST",0.361575,0.244494,0.031804,
202007,"EST",0.293247,0.297391,0.032850,
202008,"EST",0.547162,0.288483,0.035742,
202009,"EST",0.476848,0.265145,0.043568,
202010,"EST",0.496770,0.247458,0.056778,
202011,"EST",0.440826,0.247458,0.077914,
202012,"EST",0.521705,0.266521,0.113506,
202101,"EST",0.557349,0.227978,0.125991,
202102,"EST",0.831807,0.230153,0.135698,
202103,"EST",0.484703,0.232166,0.101824,
202104,"EST",0.481507,0.214626,0.075304,
202105,"EST",0.384848,0.241792,0.049236,
202106,"EST",0.441794,0.249939,0.032223,
202107,"EST",0.455624,0.277131,0.029171,
202108,"EST",0.403351,0.268977,0.038628,
202109,"EST",0.529907,0.241713,0.049035,
202110,"EST",0.547716,0.241578,0.058642,
202111,"EST",0.568177,0.241717,0.083410,
202112,"EST",0.771527,0.260493,0.138850,
202201,"EST",0.734016,0.244083,0.115663,
202202,"EST",0.587980,0.223783,0.095455,
202203,"EST",0.835768,0.255643,0.086673,
202204,"EST",0.630290,0.246853,0.059927,
202205,"EST",0.663184,0.276073,0.041016,
202206,"EST",0.652191,0.264492,0.028691,
202207,"EST",0.602808,0.261560,0.022105,
202208,"EST",0.662261,0.302275,0.024537,
202209,"EST",0.670850,0.270269,0.030423,
202210,"EST",0.613731,0.244105,0.036136,
202211,"EST",0.669184,0.267228,0.058216,
202212,"EST",0.763735,0.278725,0.082855,
202301,"EST",0.475882,0.250235,0.071156,
202302,"EST",0.428177,0.218265,0.063457,
202303,"EST",0.405297,0.247313,0.067901,
202304,"EST",0.395707,0.253380,0.044677,
202305,"EST",0.363703,0.282533,0.030173,
202306,"EST",0.414913,0.265040,0.023224,
202307,"EST",0.344049,0.273905,0.020473,
202308,"EST",0.390334,0.303065,0.024903,
202309,"EST",0.325562,0.270993,0.023224,
202310,"EST",0.379301,0.262178,0.054517,
202311,"EST",0.571149,0.256354,0.067481,
202312,"EST",0.479751,0.247536,0.092618,
202401,"EST",0.462328,0.250609,0.134674,
202402,"EST",0.372874,0.241733,0.085661,
202403,"EST",0.380749,0.250668,0.068719,
202404,"EST",0.305512,0.286138,0.060978,
202405,"EST",0.338633,0.289110,0.033229,
202406,"EST",0.305532,0.265491,0.021063,
202407,"EST",0.311265,0.289108,0.025135,
202408,"EST",0.273643,0.303872,0.026593,
202409,"EST",0.350692,0.277304,0.025588,
202410,"EST",0.353731,0.262512,0.044720,
202411,"EST",0.345591,0.236006,0.068267,
202412,"EST",0.373558,0.224194,0.086264,
202501,"EST",0.369043,0.220462,0.083069,
202502,"EST",0.404565,0.206380,0.086994,
202503,"EST",0.366166,0.231780,0.062440,
202504,"EST",0.336788,0.262794,0.047497,
202505,"EST",0.320276,0.245874,0.036730,
202506,"EST",0.275926,0.245985,0.024403,
202507,"EST",0.216472,0.260133,0.023296,
202508,"EST",0.171611,0.277050,0.026616,
202509,"EST",0.245259,0.257245,0.027170,
202510,"EST",0.333232,0.260132,0.048906,
202511,"EST",0.350660,0.234669,0.066969,
202512,"EST",0.539085,0.237496,0.081258,
202601,"EST",0.445647,0.269315,0.138717,
202602,"EST",0.409683,0.231572,0.124026,
202603,"EST",0.343275,0.262726,0.060378,
202604,"EST",0.324266,0.243001,0.048101,
202605,"EST",0.344825,0.259884,0.030491,
202606,"EST",0.324498,0.253988,0.020931,
202607,"EST",0.310685,,0.020630,
202608,"EST",,,0.022016,
202609,"EST",,,,
202610,"EST",,,,
202611,"EST",,,,
202612,"EST",,,,
200801,"FIN",2.414326,2.025870,0.868966,
200802,"FIN",2.347622,2.012664,0.778637,
200803,"FIN",2.157570,2.020849,0.809336,
200804,"FIN",1.799583,2.141437,0.637734,
200805,"FIN",1.295784,2.030907,0.572670,
200806,"FIN",1.151129,1.900460,0.522095,
200807,"FIN",1.143235,2.017675,0.578375,
200808,"FIN",1.554208,1.986098,0.601829,
200809,"FIN",2.346536,2.290330,0.724440,
200810,"FIN",2.173440,2.264272,0.778637,
200811,"FIN",2.028946,2.088270,0.782260,
200812,"FIN",3.309507,2.104608,0.713710,
200901,"FIN",2.699017,2.196626,0.828529,
200902,"FIN",2.701416,2.015666,0.763060,
200903,"FIN",2.470882,2.054724,0.736799,
200904,"FIN",1.879499,1.948393,0.603596,
200905,"FIN",0.491016,1.866841,0.424390,
200906,"FIN",1.552529,1.873344,0.428921,
200907,"FIN",0.579249,1.866976,0.414727,
200908,"FIN",1.115359,1.936351,0.441774,
200909,"FIN",1.905263,2.103297,0.527817,
200910,"FIN",2.175053,2.150327,0.750253,
200911,"FIN",2.271680,1.927926,0.685432,
200912,"FIN",3.104366,2.219056,0.888403,
201001,"FIN",3.692806,2.169960,1.007456,
201002,"FIN",3.374131,2.219159,0.892787,
201003,"FIN",3.277037,2.323944,0.823921,
201004,"FIN",2.372496,1.796634,0.677011,
201005,"FIN",1.708762,1.857418,0.506034,
201006,"FIN",1.542254,1.849364,0.417395,
201007,"FIN",0.735812,1.884433,0.392187,
201008,"FIN",1.355411,1.976996,0.463427,
201009,"FIN",2.005965,2.012611,0.577686,
201010,"FIN",2.278537,2.110594,0.696693,
201011,"FIN",3.034223,2.237911,0.824287,
201012,"FIN",3.808111,2.663272,0.983025,
201101,"FIN",3.706978,2.053466,0.933328,
201102,"FIN",3.336287,2.123407,0.945229,
201103,"FIN",3.333634,2.106452,0.840440,
201104,"FIN",2.073811,1.823670,0.644337,
201105,"FIN",1.847201,1.946263,0.577751,
201106,"FIN",1.332293,1.880651,0.406884,
201107,"FIN",0.487874,1.780476,0.372340,
201108,"FIN",1.125354,1.977863,0.436056,
201109,"FIN",1.349589,1.937999,0.430407,
201110,"FIN",1.482726,2.000462,0.466294,
201111,"FIN",1.786023,2.027807,0.558117,
201112,"FIN",2.273235,2.098053,0.599468,
201201,"FIN",2.545449,1.927506,0.745903,
201202,"FIN",2.786204,2.153247,0.805434,
201203,"FIN",2.090007,1.943016,0.635557,
201204,"FIN",1.925388,1.820732,0.487841,
201205,"FIN",1.334880,1.925467,0.405035,
201206,"FIN",0.732198,1.842353,0.365904,
201207,"FIN",0.663744,1.864935,0.327468,
201208,"FIN",0.755561,1.941509,0.379721,
201209,"FIN",1.116546,2.002445,0.452187,
201210,"FIN",1.571520,2.091094,0.525072,
201211,"FIN",1.654540,1.980662,0.570601,
201212,"FIN",2.466469,2.134736,0.758560,
201301,"FIN",3.121213,1.996276,0.774063,
201302,"FIN",1.477764,1.720474,0.603389,
201303,"FIN",2.654323,1.947173,0.713812,
201304,"FIN",2.355978,1.845072,0.555750,
201305,"FIN",1.367802,1.908773,0.375363,
201306,"FIN",1.010360,1.771377,0.299094,
201307,"FIN",0.755763,1.904070,0.299002,
201308,"FIN",1.358363,2.005139,0.371543,
201309,"FIN",1.428995,1.903682,0.430920,
201310,"FIN",2.361069,2.059036,0.508248,
201311,"FIN",1.548175,1.879520,0.537246,
201312,"FIN",1.962397,1.859435,0.593309,
201401,"FIN",2.749775,1.853012,0.792122,
201402,"FIN",2.137087,1.563300,0.525613,
201403,"FIN",2.136812,1.666462,0.509029,
201404,"FIN",0.616773,1.772734,0.420844,
201405,"FIN",1.177268,1.757494,0.394710,
201406,"FIN",0.945364,1.709264,0.306572,
201407,"FIN",1.296023,1.763452,0.280858,
201408,"FIN",1.089979,1.859222,0.291293,
201409,"FIN",1.308855,1.894964,0.351480,
201410,"FIN",1.775672,2.028609,0.442180,
201411,"FIN",2.125630,1.742025,0.517926,
201412,"FIN",2.001925,1.903405,0.554914,
201501,"FIN",2.849513,1.799727,0.598334,
201502,"FIN",1.727795,1.661609,0.503333,
201503,"FIN",1.483539,1.723040,0.528762,
201504,"FIN",1.536097,1.642303,0.391180,
201505,"FIN",0.845834,1.680648,0.269462,
201506,"FIN",0.735307,1.697347,0.286430,
201507,"FIN",0.818288,1.774102,0.291488,
201508,"FIN",0.947635,1.817636,0.274152,
201509,"FIN",0.943604,2.003536,0.332413,
201510,"FIN",1.413352,1.957612,0.425253,
201511,"FIN",1.469976,1.716555,0.394674,
201512,"FIN",2.114417,1.881345,0.415965,
201601,"FIN",2.285134,2.071095,0.680724,
201602,"FIN",1.819310,1.764952,0.460101,
201603,"FIN",1.875457,1.810306,0.432742,
201604,"FIN",1.266470,1.785604,0.301078,
201605,"FIN",2.107900,1.858521,0.222114,
201606,"FIN",0.873247,1.855925,0.223211,
201607,"FIN",0.611114,1.756320,0.217335,
201608,"FIN",0.969475,2.035205,0.231804,
201609,"FIN",1.205418,1.971295,0.219265,
201610,"FIN",1.461751,2.022298,0.269861,
201611,"FIN",1.996136,2.025765,0.464573,
201612,"FIN",2.236521,1.951878,0.467423,
201701,"FIN",1.911476,1.786575,0.525853,
201702,"FIN",1.703965,1.702594,0.467650,
201703,"FIN",1.774413,1.877051,0.406333,
201704,"FIN",1.653001,1.705754,0.308622,
201705,"FIN",1.389225,1.927821,0.246093,
201706,"FIN",0.801082,1.830989,0.213379,
201707,"FIN",0.903727,1.836320,0.213162,
201708,"FIN",0.882785,1.940090,0.237265,
201709,"FIN",1.010420,1.954039,0.236616,
201710,"FIN",1.559685,2.023978,0.276384,
201711,"FIN",1.482398,1.876536,0.308579,
201712,"FIN",2.068612,1.733594,0.412780,
201801,"FIN",2.215289,1.858354,0.496999,
201802,"FIN",1.948975,1.775445,0.575039,
201803,"FIN",2.610813,1.969644,0.579531,
201804,"FIN",1.646520,1.705517,0.285207,
201805,"FIN",1.004075,1.874729,0.220115,
201806,"FIN",0.737463,1.746640,0.226810,
201807,"FIN",0.935518,1.813499,0.217297,
201808,"FIN",0.972779,1.954678,0.289347,
201809,"FIN",0.926394,1.740481,0.327002,
201810,"FIN",1.363432,1.969778,0.319868,
201811,"FIN",1.619955,1.841599,0.347525,
201812,"FIN",1.998934,1.779969,0.485108,
201901,"FIN",2.134907,1.968668,0.652201,
201902,"FIN",1.659068,1.618643,0.472366,
201903,"FIN",1.619644,1.713488,0.457919,
201904,"FIN",1.230285,1.655932,0.335119,
201905,"FIN",1.103135,1.741819,0.238997,
201906,"FIN",0.792247,1.688311,0.225525,
201907,"FIN",0.548338,1.727671,0.259693,
201908,"FIN",0.668654,1.777526,0.256724,
201909,"FIN",1.169666,2.001074,0.287878,
201910,"FIN",1.466467,2.011433,0.353953,
201911,"FIN",1.489944,1.908455,0.368267,
201912,"FIN",1.429248,1.795568,0.385506,
202001,"FIN",1.591553,1.662234,0.454625,
202002,"FIN",1.387630,1.526589,0.428859,
202003,"FIN",1.445639,1.753820,0.426193,
202004,"FIN",1.047607,1.611974,0.325551,
202005,"FIN",0.951795,1.630474,0.288478,
202006,"FIN",0.522847,1.733164,0.289974,
202007,"FIN",0.400488,1.819038,0.278704,
202008,"FIN",0.470224,1.624716,0.300449,
202009,"FIN",0.636694,1.800850,0.360258,
202010,"FIN",0.989124,1.774723,0.371668,
202011,"FIN",1.130640,1.655204,0.372744,
202012,"FIN",1.327222,1.646676,0.454859,
202101,"FIN",1.341231,1.444387,0.643733,
202102,"FIN",1.615709,1.504080,0.643968,
202103,"FIN",1.360388,1.499436,0.480566,
202104,"FIN",0.984074,1.550247,0.409259,
202105,"FIN",0.800107,1.506262,0.182781,
202106,"FIN",0.554216,1.580609,0.215377,
202107,"FIN",0.565370,1.717006,0.273796,
202108,"FIN",0.542447,1.658368,0.256440,
202109,"FIN",0.957829,1.729836,0.312412,
202110,"FIN",1.199531,1.753610,0.264012,
202111,"FIN",1.083821,1.615357,0.198774,
202112,"FIN",1.755923,1.878786,0.457706,
202201,"FIN",1.612665,1.627902,0.338722,
202202,"FIN",1.296327,1.593647,0.282715,
202203,"FIN",1.358764,1.814593,0.307596,
202204,"FIN",1.163528,1.480175,0.178580,
202205,"FIN",0.978652,1.683620,0.194193,
202206,"FIN",0.885439,1.559152,0.174318,
202207,"FIN",0.446207,1.640745,0.157317,
202208,"FIN",0.430819,1.883249,0.187601,
202209,"FIN",1.019702,1.775738,0.140416,
202210,"FIN",0.950129,1.667512,0.128570,
202211,"FIN",1.067106,1.610297,0.145223,
202212,"FIN",1.419483,1.745146,0.166734,
202301,"FIN",1.335303,1.622467,0.191561,
202302,"FIN",1.153070,1.419333,0.212424,
202303,"FIN",1.312494,1.648411,0.199806,
202304,"FIN",0.714590,1.511392,0.113786,
202305,"FIN",0.552908,1.658546,0.204447,
202306,"FIN",0.466054,1.695011,0.147573,
202307,"FIN",0.430829,1.526590,0.165252,
202308,"FIN",0.502803,1.579694,0.196125,
202309,"FIN",0.417790,1.416800,0.170161,
202310,"FIN",0.617039,1.594759,0.440456,
202311,"FIN",0.886268,1.527200,0.230793,
202312,"FIN",1.069056,1.634944,0.282221,
202401,"FIN",1.243882,1.683905,0.357230,
202402,"FIN",0.935220,1.443919,0.312652,
202403,"FIN",0.760743,1.511698,0.262767,
202404,"FIN",0.684577,1.496853,0.188805,
202405,"FIN",0.520552,1.348060,0.160104,
202406,"FIN",0.356252,1.562611,0.196885,
202407,"FIN",0.410721,1.677072,0.198975,
202408,"FIN",0.366530,1.691052,0.153110,
202409,"FIN",0.273768,1.620092,0.201990,
202410,"FIN",0.509200,1.613808,0.225183,
202411,"FIN",0.854715,1.349825,0.162918,
202412,"FIN",0.870290,1.603929,0.262245,
202501,"FIN",0.978459,1.470173,0.244266,
202502,"FIN",0.865624,1.416826,0.223452,
202503,"FIN",0.671086,1.420115,0.258481,
202504,"FIN",0.790875,1.644505,0.213188,
202505,"FIN",0.465719,1.503771,0.186427,
202506,"FIN",0.441375,1.625407,0.135095,
202507,"FIN",0.422316,1.465205,0.176529,
202508,"FIN",0.429310,1.656582,0.146918,
202509,"FIN",0.717583,1.700139,0.097103,
202510,"FIN",0.584489,1.655666,0.163764,
202511,"FIN",0.540462,1.444913,0.189726,
202512,"FIN",0.629408,1.518122,0.198606,
202601,"FIN",0.606794,1.550218,0.127632,
202602,"FIN",0.656818,1.491671,0.396947,
202603,"FIN",0.536572,1.487569,0.132499,
202604,"FIN",0.499274,1.427245,0.117889,
202605,"FIN",0.490472,1.439588,0.141549,
202606,"FIN",0.785197,1.303052,0.137330,
202607,"FIN",,1.439022,0.240311,
202608,"FIN",,,,
202609,"FIN",,,,
202610,"FIN",,,,
202611,"FIN",,,,
202612,"FIN",,,,
200801,"FRA",5.350157,20.495854,12.392109,
200802,"FRA",4.960597,18.367247,11.191355,
200803,"FRA",3.593343,18.425313,11.312729,
200804,"FRA",4.166066,18.692503,7.831440,
200805,"FRA",3.099554,17.442472,4.114497,
200806,"FRA",5.112067,17.021988,3.797993,
200807,"FRA",5.533580,18.673873,3.741178,
200808,"FRA",2.727595,17.161483,2.901549,
200809,"FRA",5.928292,19.256807,4.035645,
200810,"FRA",4.882812,19.745675,7.587491,
200811,"FRA",4.475137,17.371067,10.359921,
200812,"FRA",6.429351,21.226929,12.900144,
200901,"FRA",3.829064,21.457156,14.520086,
200902,"FRA",5.866147,18.206729,12.166481,
200903,"FRA",3.542128,19.613692,10.535725,
200904,"FRA",2.522290,17.919451,6.002782,
200905,"FRA",2.285214,16.089086,4.223231,
200906,"FRA",2.774593,17.722799,3.510408,
200907,"FRA",3.059046,18.060074,3.335987,
200908,"FRA",2.083384,16.036945,3.070418,
200909,"FRA",4.580766,18.315708,3.546929,
200910,"FRA",5.675965,19.263976,6.740771,
200911,"FRA",4.811215,16.522265,9.633545,
200912,"FRA",4.197511,20.621812,13.511720,
201001,"FRA",4.980309,17.716918,15.326157,
201002,"FRA",4.690040,18.242839,12.161853,
201003,"FRA",4.695622,19.302179,11.363137,
201004,"FRA",3.671619,17.548559,6.519379,
201005,"FRA",4.248376,16.173653,6.728315,
201006,"FRA",2.872390,17.064295,3.855367,
201007,"FRA",4.060574,17.984535,2.768480,
201008,"FRA",2.573292,17.162710,2.729162,
201009,"FRA",3.578769,18.825570,4.366410,
201010,"FRA",3.196212,18.402939,6.117035,
201011,"FRA",5.297703,17.393857,10.341300,
201012,"FRA",5.271478,20.323721,13.985143,
201101,"FRA",4.017099,18.039079,15.006165,
201102,"FRA",4.355762,17.872156,12.457235,
201103,"FRA",4.110711,18.201814,10.482886,
201104,"FRA",3.412949,16.745790,5.096201,
201105,"FRA",3.668728,16.971592,4.386486,
201106,"FRA",2.241961,16.584401,3.422446,
201107,"FRA",2.794054,17.207695,3.482192,
201108,"FRA",2.539783,17.720955,2.747884,
201109,"FRA",3.631100,18.352755,3.864911,
201110,"FRA",3.695829,17.802945,6.209658,
201111,"FRA",5.674997,16.390191,9.273071,
201112,"FRA",2.024706,17.010276,11.417506,
201201,"FRA",1.436954,17.362495,12.519603,
201202,"FRA",6.320735,18.413444,15.084097,
201203,"FRA",3.051442,16.914399,9.387785,
201204,"FRA",4.646273,16.064817,7.771478,
201205,"FRA",4.077252,16.083415,4.445420,
201206,"FRA",3.559487,16.874619,3.596847,
