"YYYYMM","Total","Marine diesel oil","Marine gasoil","Low-S marine gasoil","Marine fuel oil","Low-sulphur fuel oil","Ultra-low-S fuel oil"
201802,4135.810000,0,54.650000,128,3929.160000,24,0
201803,4168.190000,0,61.460000,119,3975.730000,12,0
201804,4232.970000,0,64.360000,126,4022.610000,20,0
201805,4283.200000,0,62.610000,110,4095.590000,15,0
201806,3922.400000,0,55.060000,107,3727.340000,33,0
201807,4035.410000,0,50.320000,100,3853.090000,32,0
201808,3962.460000,0,49.280000,126,3766.180000,21,0
201809,4111.530000,0,60.050000,133,3887.480000,31,0
201810,4125.010000,0,73.710000,143,3872.300000,36,0
201811,3906.390000,0,59.820000,141,3659.570000,46,0
201812,4307.350000,0,87.340000,191,3996.010000,33,0
201901,4200.230000,0,79.140000,230,3858.090000,33,0
201902,3779.610000,0.760000,69.890000,217,3449.960000,42,0
201903,4090.800000,0,68.870000,209,3752.930000,60,0
201904,3713.390000,0,71.050000,197,3390.340000,54,0
201905,4006.850000,0,75.930000,212,3658.920000,60,0
201906,3920.700000,0,54.880000,231,3565.820000,69,0
201907,3878.190000,0,51.440000,217,3545.750000,64,0
201908,3668.500000,0,61.830000,218,3310.670000,78,0
201909,3897.580000,0,62.050000,284,3378.530000,173,0
201910,3767.860000,0,51.320000,294,2852.540000,570,0
201911,4074.780000,0,56.170000,374,1999.610000,1645,0
201912,4465.050000,0,89.480000,407,1338.570000,2630,0
202001,4514.666000,0,108.504000,445.890000,771.745000,3111.023000,77.504000
202002,3879.710000,0,86.440000,400.248000,621.306000,2711.955000,59.761000
202003,4322.284000,0.199000,52.116000,407.946000,781.838000,3001.572000,78.613000
202004,4113.672000,0,48.425000,372.562000,771.244000,2854.755000,66.686000
202005,3924.996000,0,72.115000,351.405000,786.757000,2656.274000,58.445000
202006,3829.024000,0,56.226000,254.176000,807.079000,2651.786000,59.757000
202007,4157.671000,0,30.784000,245.784000,988.588000,2892.515000,0
202008,4168.904000,0,27.372000,273.241000,1028.356000,2839.935000,0
202009,4217.574478,0,25.028675,362.820124,933.824692,2895.900987,0
202010,4152.362000,0,33.194000,328.441000,1084.459000,2706.268000,0
202011,4262.547000,0,50.718000,324.513000,1059.229000,2828.087000,0
202012,4289.624000,0,42.025000,295.144000,1018.862000,2933.593000,0
202101,4502.994000,0,43.151000,336.015000,1130.225000,2993.603000,0
202102,4120.101000,0,33.458000,358.491000,1002.012000,2726.140000,0
202103,4199.333000,0,30.696000,318.900000,1017.096000,2832.641000,0
202104,4256.451000,0,33.025000,297.974000,1113.205000,2812.247000,0
202105,4071.807000,0,30.001000,281.101000,984.577000,2776.128000,0
202106,4112.978000,0,30.423000,277.182000,1059.520000,2745.853000,0
202107,4063.843000,0,25.046000,281.485000,1057.289000,2700.023000,0
202108,4071.859000,0,26.752000,290.012000,1074.830000,2680.265000,0
202109,3935.301000,0,26.795000,331.690000,996.241000,2580.575000,0
